"","Amauria_brandeegeana_62","Amauria_carterae_99_mesa","Amauria_rotundifolia_SRR9119150","Conoclinium_coelestinum_SRR9119114","Eutetras_palmeri_63","Eutetras_pringlei_149_quer","Eutrochium_fistulosum_SRR9119106","Galeana_pratensis_104_mex","Helianthus_annuus_SRR9119062","Lycapsus_tenuifolius_17","Pericome_caudata_50_silver","Perityle_aglossa_84_dead_horse","Perityle_ajoensis_204","Perityle_ambrosiifolia_67_green","Perityle_angustifolia_13_Eagle_creek","Perityle_batopilensis_97","Perityle_bisetosa_9","Perityle_californica_76_positas","Perityle_canescens_77","Perityle_castillonii_96","Perityle_cernua_84","Perityle_cfvillosa_25_tin","Perityle_cinerea_113_Powell1310","Perityle_coahuilensis_24","Perityle_cochisensis_44_cave_creek","Perityle_congesta_202","Perityle_cordifolia_27","Perityle_cordifolia_68_tecolote","Perityle_coronopifolia_28_patagonia","Perityle_crassifolia_70_ventanas","Perityle_crassifolia_74_playa_balandra","Perityle_cuneata_34_cuneata_San_antonio","Perityle_cuneata_4","Perityle_discoidea_81","Perityle_dissecta_201","Perityle_emoryi_47_punta_san_jose","Perityle_feddemae_99","Perityle_fosteri_93","Perityle_gamon_221","Perityle_gentryi_8_san_francisco","Perityle_gilensis_22_Superstition","Perityle_gilensis_salensis_225","Perityle_glaucescens_94","Perityle_gracilis_11","Perityle_harkerae_31","Perityle_hofmeisteria_4_nombre_de_dios","Perityle_huecosensis_48","Perityle_incana_3_ucla","Perityle_intricata_59_Clark_mtns","Perityle_inyoensis_9_pleasant","Perityle_jaliscana_203","Perityle_lemmonii_12","Perityle_lemmonii_85_hachita","Perityle_lemmonii_colossal_cave_206","Perityle_leptoglossa_20_rancho_las_laminas","Perityle_lindheimeri_34","Perityle_lineariloba_78","Perityle_lloydii_79","Perityle_lobata_119_mesa_tinajas","Perityle_megalocephala_19_meg_Echo","Perityle_megalocephala_29_tin_mountain","Perityle_microglossa_73_tecolote","Perityle_microglossa_83_isla_venados","Perityle_montana_80","Perityle_palmeri_21_rancho_nuevo","Perityle_parryi_80_lower_window","Perityle_pseudociliata_140","Perityle_reinana_7_mazatan","Perityle_rosei_74","Perityle_rosei_jalisco_223","Perityle_rupestris_10_rupestris_davis","Perityle_rupestris_30_albiflora_chisos","Perityle_saxicola_224","Perityle_socorrensis_san_benedicto_213","Perityle_specuicola_41_negro_bill_canyon","Perityle_stansburyi_42_rock_spring","Perityle_staurophylla_42","Perityle_tenella_86_Beaver_dam","Perityle_trichodonta_bolanos_208","Perityle_turneri_33_Mexiquilla","Perityle_vandevenderi_117_sierra_cucurpe","Perityle_vaseyi_ernst_209","Perityle_vigilans_109","Perityle_villosa_45_Hanuapah_cyn","Perityle_yellow_87"
"At1g01470",1598,359,NA,733,856,627,603,964,1766,1320,843,1782,775,1656,1428,905,812,472,1100,1403,789,1246,305,721,418,1039,1089,2738,1478,1334,825,784,NA,1626,2013,479,448,1781,1630,659,1624,959,835,645,632,2242,1018,370,773,2033,429,712,432,2078,424,1419,1043,1045,1053,1382,1818,245,522,710,464,1218,2101,388,826,NA,501,758,1532,881,1887,530,837,471,934,2242,738,1433,605,990,1989
"At1g03250",966,432,1111,819,1075,NA,724,349,810,951,1281,1161,1216,945,NA,863,1300,766,542,1002,920,967,259,1792,926,1317,1270,1351,1107,618,246,1238,1361,650,1163,783,1078,886,1034,827,1177,1173,1322,535,1133,1597,950,437,1351,1329,1030,874,1115,894,1103,824,823,531,481,1421,1480,705,497,917,266,1465,1150,965,949,1213,252,967,1435,758,1426,327,1172,304,1057,1356,1028,1035,239,1462,1044
"At1g04560",403,271,1006,1186,1053,348,772,NA,918,995,390,1103,1071,1053,301,1092,636,282,913,919,881,867,NA,1460,755,1088,1041,1458,1562,415,556,1118,1018,837,1070,879,1178,947,1068,852,312,983,1253,687,902,1417,1085,677,1332,1201,1015,925,1171,1140,594,791,972,555,490,865,1346,905,389,648,373,414,1059,399,1177,1260,453,964,1333,602,1215,879,945,354,1099,1231,1443,937,307,1187,974
"At1g05720",2782,1034,2393,1616,2200,NA,1450,673,1827,921,2904,1397,1189,1596,844,889,2161,1716,1400,1466,1690,1074,263,1457,152,2607,2528,2685,2376,1170,213,3029,1126,787,NA,966,2468,867,2388,1938,2479,1178,2683,1891,2650,3232,1336,NA,1260,1993,2056,1706,1134,902,1283,389,2023,1123,1023,1573,1881,1819,815,1014,764,2959,2148,2635,1986,2795,378,740,1442,1765,2577,1666,986,1075,1856,2631,1265,1092,916,1733,2454
"At1g11790",928,400,1106,723,1077,294,844,238,1257,1111,1332,1153,1054,920,558,966,1047,808,704,1039,1057,904,482,1590,1047,1448,1278,1238,1445,669,267,1060,1107,961,1206,983,1211,1006,1109,973,1243,1165,1042,873,957,1479,926,860,NA,1204,1171,977,1374,1206,1242,1023,922,573,535,1262,1516,838,468,415,488,1404,1187,1058,1017,1183,270,1175,1377,728,1311,1249,1251,410,847,1268,886,1145,508,1563,1192
"At1g12840",954,610,1184,825,1029,679,889,432,842,938,1303,1312,1143,1123,786,1103,1786,1045,963,1080,786,1119,740,1731,895,1138,1463,1525,1348,1177,614,1206,875,850,1271,979,1112,924,1400,1832,1384,1109,1386,751,1473,1607,1177,1227,1534,1560,1156,869,994,1018,754,937,983,621,567,1271,1228,717,736,541,547,1781,935,823,1120,1294,250,932,1698,823,1018,952,864,503,967,1398,1267,1107,691,1319,1371
"At1g13700",2170,1088,2081,NA,949,1121,1943,373,1448,1268,2375,1348,1780,2029,1557,2089,3442,1117,1975,2141,3586,2288,1010,2775,2331,2250,2504,2517,2459,1346,1046,1638,2342,2143,2196,2004,2204,2122,2293,2182,3508,2335,2323,1893,2305,NA,1931,298,2240,2498,2254,1916,2074,2070,2235,2064,2008,1416,1278,2152,2563,1426,830,2095,1110,2675,2319,2185,2089,1911,531,2345,2558,2108,2267,2388,2329,1002,2148,2539,2363,1973,528,2360,1892
"At1g14620",1367,1163,1304,935,1267,290,1095,250,1586,2330,3209,1369,1209,2350,1831,1969,1343,1609,919,327,1451,1384,544,1715,1181,1338,1482,2928,1440,1077,701,1637,2748,1875,1038,1861,2658,1046,1315,1068,2438,2696,2781,1247,2347,3224,1357,1109,1385,1225,1167,2084,1656,2739,1427,2111,1053,721,801,1537,1072,959,449,1056,650,3448,2641,2541,1042,1428,649,1131,1644,2286,1517,1283,1246,534,1131,1613,2405,1125,1084,1218,1817
"At1g15140",1027,649,1117,865,729,261,1328,329,929,836,1294,1294,1062,1084,879,1198,1382,689,707,1048,471,957,337,1405,988,1094,1457,1463,1359,714,413,1229,1894,842,1178,746,1370,1088,1363,1135,1475,1160,1454,985,993,347,1209,907,1316,1434,1190,980,1187,1199,1276,1074,716,712,744,894,1313,804,275,415,423,1470,1290,291,1007,1255,338,1081,1222,876,1203,1083,1036,584,1190,1162,1236,1246,676,1192,1140
"At1g16080",1458,1179,2219,1379,1813,415,806,335,1360,890,2208,2294,2307,1810,1265,1374,1549,1779,1586,1002,1924,1755,329,2638,2052,3057,2663,2544,2412,716,778,2714,NA,674,3492,1742,2359,1711,1519,1862,2260,2298,1976,1106,2150,2115,2462,NA,2372,1174,1089,1787,2117,2040,2304,1375,1716,979,1165,1632,2526,797,712,677,1090,2519,2314,2224,2197,1526,361,1794,2613,2040,1512,1631,2303,788,1771,2666,2541,1000,649,2477,2365
