"","No. loci","Prop. of loci","Prop. of target length"
"Amauria_brandeegeana_62",571,0.538,1.301
"Amauria_carterae_99_mesa",753,0.71,0.891
"Amauria_rotundifolia_SRR9119150",668,0.63,1.64
"Conoclinium_coelestinum_SRR9119114",736,0.694,1.257
"Eutetras_palmeri_63",620,0.584,1.422
"Eutetras_pringlei_149_quer",738,0.696,0.651
"Eutrochium_fistulosum_SRR9119106",710,0.669,1.397
"Galeana_pratensis_104_mex",821,0.774,0.8
"Helianthus_annuus_SRR9119062",765,0.721,1.446
"Lycapsus_tenuifolius_17",396,0.373,0.928
"Pericome_caudata_50_silver",630,0.594,1.739
"Perityle_aglossa_84_dead_horse",602,0.567,1.611
"Perityle_ajoensis_204",619,0.583,1.468
"Perityle_ambrosiifolia_67_green",639,0.602,1.452
"Perityle_angustifolia_13_Eagle_creek",684,0.645,1.137
"Perityle_batopilensis_97",623,0.587,1.526
"Perityle_bisetosa_9",564,0.532,1.431
"Perityle_californica_76_positas",659,0.621,1.181
"Perityle_canescens_77",666,0.628,1.204
"Perityle_carmenensis_122_Spellenberg9960",0,0,0
"Perityle_castillonii_96",633,0.597,1.366
"Perityle_cernua_84",608,0.573,1.302
"Perityle_cfvillosa_25_tin",640,0.603,1.466
"Perityle_cinerea_113_Powell1310",802,0.756,0.73
"Perityle_coahuilensis_24",583,0.549,1.844
"Perityle_cochisensis_44_cave_creek",666,0.628,1.432
"Perityle_congesta_202",613,0.578,1.612
"Perityle_cordifolia_27",631,0.595,1.8
"Perityle_cordifolia_68_tecolote",655,0.617,1.945
"Perityle_coronopifolia_28_patagonia",641,0.604,1.66
"Perityle_crassifolia_70_ventanas",700,0.66,1.137
"Perityle_crassifolia_74_playa_balandra",805,0.759,0.934
"Perityle_cuneata_34_cuneata_San_antonio",578,0.545,1.382
"Perityle_cuneata_4",511,0.482,1.28
"Perityle_discoidea_81",372,0.351,0.77
"Perityle_dissecta_201",583,0.549,1.529
"Perityle_emoryi_47_punta_san_jose",333,0.314,0.744
"Perityle_feddemae_99",645,0.608,1.669
"Perityle_fosteri_93",606,0.571,1.332
"Perityle_gamon_221",637,0.6,1.592
"Perityle_gentryi_8_san_francisco",658,0.62,1.482
"Perityle_gilensis_22_Superstition",611,0.576,1.656
"Perityle_gilensis_salensis_225",626,0.59,1.59
"Perityle_glaucescens_94",636,0.599,1.668
"Perityle_gracilis_11",613,0.578,1.346
"Perityle_harkerae_31",668,0.63,1.48
"Perityle_hofmeisteria_4_nombre_de_dios",628,0.592,1.995
"Perityle_huecosensis_48",604,0.569,1.559
"Perityle_incana_3_ucla",433,0.408,0.71
"Perityle_intricata_59_Clark_mtns",592,0.558,1.612
"Perityle_inyoensis_9_pleasant",624,0.588,1.681
"Perityle_jaliscana_203",653,0.615,1.517
"Perityle_lemmonii_12",618,0.582,1.424
"Perityle_lemmonii_85_hachita",619,0.583,1.624
"Perityle_lemmonii_colossal_cave_206",585,0.551,1.436
"Perityle_leptoglossa_20_rancho_las_laminas",619,0.583,1.566
"Perityle_lindheimeri_34",630,0.594,1.328
"Perityle_lineariloba_78",558,0.526,1.109
"Perityle_lloydii_79",743,0.7,1.003
"Perityle_lobata_119_mesa_tinajas",689,0.649,0.999
"Perityle_megalocephala_19_meg_Echo",616,0.581,1.531
"Perityle_megalocephala_29_tin_mountain",597,0.563,1.666
"Perityle_microglossa_73_tecolote",639,0.602,1.19
"Perityle_microglossa_83_isla_venados",778,0.733,0.79
"Perityle_montana_80",599,0.565,1.164
"Perityle_palmeri_21_rancho_nuevo",753,0.71,0.802
"Perityle_parryi_80_lower_window",549,0.517,1.687
"Perityle_pseudociliata_140",630,0.594,1.532
"Perityle_reinana_7_mazatan",630,0.594,1.544
"Perityle_rosei_74",634,0.598,1.404
"Perityle_rosei_jalisco_223",335,0.316,0.95
"Perityle_rupestris_10_rupestris_davis",765,0.721,0.721
"Perityle_rupestris_30_albiflora_chisos",628,0.592,1.488
"Perityle_saxicola_224",576,0.543,1.721
"Perityle_socorrensis_san_benedicto_213",700,0.66,1.421
"Perityle_specuicola_41_negro_bill_canyon",617,0.582,1.645
"Perityle_stansburyi_42_rock_spring",667,0.629,1.461
"Perityle_staurophylla_42",608,0.573,1.425
"Perityle_tenella_86_Beaver_dam",734,0.692,0.815
"Perityle_trichodonta_bolanos_208",661,0.623,1.445
"Perityle_turneri_33_Mexiquilla",611,0.576,1.694
"Perityle_vandevenderi_117_sierra_cucurpe",623,0.587,1.511
"Perityle_vaseyi_ernst_209",598,0.564,1.466
"Perityle_vigilans_109",782,0.737,0.965
"Perityle_villosa_45_Hanuapah_cyn",613,0.578,1.606
"Perityle_yellow_87",269,0.254,0.726
