"","sample","bp","bpoftarget","paralogs_all","paralogs_each","nloci","allele_divergence","locus_heterozygosity","loci with >0.5% SNPs","loci with >1% SNPs","loci with >2% SNPs"
"1","Amauria_brandeegeana_62",220190,199.1,4,2,157,2.798,96.86,89.94,80.5,59.75
"2","Amauria_carterae_99_mesa",110959,100.3,4,4,156,2.381,95,78.12,70.62,50
"3","Amauria_rotundifolia_SRR9119150",244411,221,4,2,154,1.2,66.67,46.15,37.82,26.92
"4","Conoclinium_coelestinum_SRR9119114",160488,145.1,4,7,146,0.869,67.32,29.41,22.88,13.07
"5","Eutetras_palmeri_63",223017,201.6,4,5,155,1.92,90,78.12,66.88,40.62
"6","Eutetras_pringlei_149_quer",58068,52.5,4,4,122,0.89,49.21,37.3,23.02,15.08
"7","Eutrochium_fistulosum_SRR9119106",190906,172.6,4,2,158,2.059,85.62,68.75,56.25,39.38
"8","Galeana_pratensis_104_mex",84703,76.6,4,4,147,0.919,66.23,35.76,25.83,18.54
"9","Helianthus_annuus_SRR9119062",180009,162.8,4,0,156,0.822,43.59,35.9,30.77,21.15
"10","Lycapsus_tenuifolius_17",209740,189.6,4,1,155,4.731,98.72,94.87,94.23,88.46
"11","Pericome_caudata_50_silver",276016,249.6,4,1,158,0.634,53.46,32.08,25.16,14.47
"12","Perityle_aglossa_84_dead_horse",268539,242.8,4,0,159,1.902,84.91,69.81,57.23,44.03
"13","Perityle_ajoensis_204",240020,217,4,3,157,1.164,83.12,53.12,40.62,30
"14","Perityle_ambrosiifolia_67_green",223483,202.1,4,5,155,1.495,86.25,58.12,48.12,33.13
"15","Perityle_angustifolia_13_Eagle_creek",158458,143.3,4,7,151,3.45,98.1,96.2,87.97,76.58
"16","Perityle_batopilensis_97",242475,219.2,4,4,156,1.882,96.25,83.75,69.38,41.25
"17","Perityle_bisetosa_9",248997,225.1,4,2,158,3.425,100,98.12,93.12,72.5
"18","Perityle_californica_76_positas",165865,150,4,3,155,2.506,93.67,86.08,76.58,59.49
"19","Perityle_canescens_77",181709,164.3,4,10,149,1.739,95.6,72.96,52.2,32.7
"20","Perityle_castillonii_96",207481,187.6,4,2,158,1.541,86.25,64.38,55,38.75
"21","Perityle_cernua_84",203688,184.2,4,5,154,3.09,98.11,89.94,83.02,69.18
