"","Amauria_brandeegeana_62","Amauria_carterae_99_mesa","Amauria_rotundifolia_SRR9119150","Conoclinium_coelestinum_SRR9119114","Eutetras_palmeri_63","Eutetras_pringlei_149_quer","Eutrochium_fistulosum_SRR9119106","Galeana_pratensis_104_mex","Helianthus_annuus_SRR9119062","Lycapsus_tenuifolius_17","Pericome_caudata_50_silver","Perityle_aglossa_84_dead_horse","Perityle_ajoensis_204","Perityle_ambrosiifolia_67_green","Perityle_angustifolia_13_Eagle_creek","Perityle_batopilensis_97","Perityle_bisetosa_9","Perityle_californica_76_positas","Perityle_canescens_77","Perityle_carmenensis_122_Spellenberg9960","Perityle_castillonii_96","Perityle_cernua_84","Perityle_cfvillosa_25_tin","Perityle_cinerea_113_Powell1310","Perityle_coahuilensis_24","Perityle_cochisensis_44_cave_creek","Perityle_congesta_202","Perityle_cordifolia_27","Perityle_cordifolia_68_tecolote","Perityle_coronopifolia_28_patagonia","Perityle_crassifolia_70_ventanas","Perityle_crassifolia_74_playa_balandra","Perityle_cuneata_34_cuneata_San_antonio","Perityle_cuneata_4","Perityle_discoidea_81","Perityle_dissecta_201","Perityle_emoryi_47_punta_san_jose","Perityle_feddemae_99","Perityle_fosteri_93","Perityle_gamon_221","Perityle_gentryi_8_san_francisco","Perityle_gilensis_22_Superstition","Perityle_gilensis_salensis_225","Perityle_glaucescens_94","Perityle_gracilis_11","Perityle_harkerae_31","Perityle_hofmeisteria_4_nombre_de_dios","Perityle_huecosensis_48","Perityle_incana_3_ucla","Perityle_intricata_59_Clark_mtns","Perityle_inyoensis_9_pleasant","Perityle_jaliscana_203","Perityle_lemmonii_12","Perityle_lemmonii_85_hachita","Perityle_lemmonii_colossal_cave_206","Perityle_leptoglossa_20_rancho_las_laminas","Perityle_lindheimeri_34","Perityle_lineariloba_78","Perityle_lloydii_79","Perityle_lobata_119_mesa_tinajas","Perityle_megalocephala_19_meg_Echo","Perityle_megalocephala_29_tin_mountain","Perityle_microglossa_73_tecolote","Perityle_microglossa_83_isla_venados","Perityle_montana_80","Perityle_palmeri_21_rancho_nuevo","Perityle_parryi_80_lower_window","Perityle_pseudociliata_140","Perityle_reinana_7_mazatan","Perityle_rosei_74","Perityle_rosei_jalisco_223","Perityle_rupestris_10_rupestris_davis","Perityle_rupestris_30_albiflora_chisos","Perityle_saxicola_224","Perityle_socorrensis_san_benedicto_213","Perityle_specuicola_41_negro_bill_canyon","Perityle_stansburyi_42_rock_spring","Perityle_staurophylla_42","Perityle_tenella_86_Beaver_dam","Perityle_trichodonta_bolanos_208","Perityle_turneri_33_Mexiquilla","Perityle_vandevenderi_117_sierra_cucurpe","Perityle_vaseyi_ernst_209","Perityle_vigilans_109","Perityle_villosa_45_Hanuapah_cyn","Perityle_yellow_87"
"At1g01050",1591,402,2034,799,1399,512,1622,306,806,756,1345,1232,1400,876,1287,869,753,1042,643,NA,731,821,2035,382,2143,1160,1203,1136,1379,1194,1594,623,1025,1574,663,997,1146,1950,1710,783,728,958,2997,1366,652,726,1943,790,271,999,4311,764,1654,2209,1044,1232,824,885,412,1574,2026,NA,1136,282,855,340,3125,2275,2230,890,NA,301,776,NA,1394,2419,755,2140,1043,914,1430,986,1012,758,NA,998
"At1g01470",1598,359,NA,733,856,627,603,964,1766,1320,843,1782,775,1656,1428,905,812,472,1100,NA,1403,789,1246,305,721,418,1039,1089,2738,1478,1334,825,784,NA,1626,2013,479,448,1781,1630,659,1624,959,835,645,632,2242,1018,370,773,2033,429,712,432,2078,424,1419,1043,1045,1053,1382,1818,245,522,710,464,1218,2101,388,826,NA,501,758,1532,881,1887,530,837,471,934,2242,738,1433,605,990,1989
"At1g01730",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,515,NA,NA,NA,NA,NA,NA,287,NA,NA,NA,NA,283,NA,NA,NA,NA,NA,563,NA,NA,NA,624,576,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,444,NA,481,NA,NA,NA,NA,NA,367,NA,NA,NA,NA,NA,NA,NA,535,NA,NA,NA,710,NA,NA,NA,NA,659,NA,NA,NA,657,NA,NA,542,NA,391,NA
"At1g01940",1033,473,967,846,1129,NA,860,411,871,937,1515,1049,914,894,935,355,NA,1213,855,NA,837,767,1079,249,1454,752,1355,1047,1290,1362,656,463,213,1072,960,1231,920,1343,814,1316,818,724,1182,215,NA,1093,1616,1218,691,543,1309,1090,1074,1258,NA,1306,775,933,738,585,974,871,NA,377,927,467,1195,1213,1372,NA,1223,341,1328,1569,844,1183,980,893,381,997,1599,1092,1056,410,1185,1375
"At1g02140",2561,1014,3562,NA,2938,651,2315,949,1783,2872,2673,2607,1500,2205,1322,1663,2411,1110,754,NA,2970,2836,2957,1003,3165,2804,2252,2919,2203,NA,1645,906,2627,3175,1733,3061,5245,2265,1855,NA,1892,2302,3171,1319,2819,998,1821,1176,1555,2688,3570,1201,1027,2459,3609,1278,1866,NA,1190,1876,3574,3666,2492,682,810,878,2602,1253,2345,1130,3778,735,1966,4038,1954,3155,2968,2022,933,1047,2601,4577,1012,1155,3361,3168
"At1g02170",3122,1063,3430,NA,2909,592,NA,733,703,985,2595,3900,1871,3242,1751,3502,3959,2406,3078,NA,3363,3298,4025,703,3363,3302,4240,4931,2619,2752,2753,1904,3805,4063,551,2866,NA,3784,2569,1563,3649,1657,2339,3638,2456,3319,2795,3737,2127,2559,2631,3559,2286,2359,2735,2789,1852,2176,1895,2145,2443,2460,2601,492,3183,902,2583,2476,2777,2053,NA,753,2850,1472,3051,3910,3237,3446,1515,2197,2792,2010,2778,1632,2589,993
"At1g02640",NA,870,NA,NA,NA,306,NA,743,NA,2114,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,504,NA,NA,NA,NA,NA,NA,NA,730,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,274,NA,681,NA,NA,NA,NA,NA,447,NA,NA,NA,NA,NA,NA,535,NA,NA,NA,NA,NA,NA,NA
"At1g03220",1174,412,1142,NA,1022,NA,NA,NA,809,NA,1375,1019,1050,1018,NA,977,1356,827,NA,NA,938,891,885,NA,1583,734,1204,1292,1479,1283,495,673,1138,832,NA,1139,NA,1258,NA,1210,1022,924,1177,1119,875,1003,1404,938,NA,992,1221,1194,996,NA,1210,NA,728,746,489,505,1132,1438,815,265,NA,429,1236,1029,NA,846,NA,291,NA,1319,998,1416,1037,997,NA,925,1207,976,NA,425,1138,NA
"At1g03250",966,432,1111,819,1075,NA,724,349,810,951,1281,1161,1216,945,NA,863,1300,766,542,NA,1002,920,967,259,1792,926,1317,1270,1351,1107,618,246,1238,1361,650,1163,783,1078,886,1034,827,1177,1173,1322,535,1133,1597,950,437,1351,1329,1030,874,1115,894,1103,824,823,531,481,1421,1480,705,497,917,266,1465,1150,965,949,1213,252,967,1435,758,1426,327,1172,304,1057,1356,1028,1035,239,1462,1044
"At1g03470",NA,484,1115,643,NA,462,856,284,820,NA,1055,1136,912,920,NA,NA,915,NA,NA,NA,NA,824,758,308,1332,745,1072,1237,1408,908,NA,359,1074,1155,NA,NA,NA,1170,928,1346,931,1144,1070,1084,1033,890,1523,1019,NA,1349,1155,1129,NA,773,1238,NA,829,NA,557,665,1074,1140,734,434,930,292,NA,1181,1638,1844,NA,NA,890,1179,1090,973,903,NA,410,1181,1524,580,1219,382,NA,NA
"At1g03600",901,274,1071,446,1010,NA,713,292,763,NA,919,NA,861,1085,504,880,NA,358,722,NA,729,872,863,NA,1157,779,1089,1102,1327,834,550,528,NA,NA,NA,NA,NA,943,NA,923,666,NA,1008,NA,1067,NA,1559,NA,NA,954,903,NA,NA,1203,NA,1051,NA,NA,491,NA,901,1060,679,418,859,423,NA,1095,871,821,NA,239,683,NA,677,1130,530,880,487,818,1031,1155,NA,NA,786,NA
"At1g04290",NA,902,2078,1334,2254,715,1560,888,1275,NA,2370,2114,936,1792,343,1939,2713,1264,1422,NA,1926,2815,1612,908,2165,817,917,2668,2908,2063,1102,632,1970,2178,NA,1137,1839,1074,1805,2253,1654,2594,1056,925,799,1135,2529,978,647,2403,2280,1282,1745,2093,2073,808,669,1528,NA,1065,2194,2360,1379,NA,625,332,2761,3097,2080,1831,2331,246,1904,3026,1628,2274,1510,2125,712,2043,3512,858,953,1140,2452,2976
