"","sample","bp","bpoftarget","paralogs_all","paralogs_each","nloci","allele_divergence","locus_heterozygosity","loci with >0.5% SNPs","loci with >1% SNPs","loci with >2% SNPs"
"1","Amauria_brandeegeana_62",758677,130.1,0,0,571,2.819,92.82,84.76,76.88,59.02
"2","Amauria_carterae_99_mesa",519730,89.1,0,0,753,2.563,91.5,75.3,61.49,44.49
"3","Amauria_rotundifolia_SRR9119150",956556,164,0,0,668,1.122,56.89,40.87,33.98,23.8
"4","Conoclinium_coelestinum_SRR9119114",733110,125.7,0,0,736,0.891,64.81,31.93,22.01,14.4
"5","Eutetras_palmeri_63",829519,142.2,0,0,620,1.785,85,70.65,56.13,32.42
"6","Eutetras_pringlei_149_quer",379425,65.1,0,0,738,1.128,51.9,37.8,27.37,18.43
"7","Eutrochium_fistulosum_SRR9119106",814693,139.7,0,0,710,1.875,80.85,62.82,48.03,31.27
"8","Galeana_pratensis_104_mex",466820,80,0,0,821,1.541,68.57,44.46,34.71,25.09
"9","Helianthus_annuus_SRR9119062",843025,144.6,0,0,765,0.841,38.43,31.37,26.54,17.39
"10","Lycapsus_tenuifolius_17",541056,92.8,0,0,396,4.607,96.21,92.68,91.41,85.86
"11","Pericome_caudata_50_silver",1013942,173.9,0,0,630,0.52,42.38,22.06,16.35,9.21
"12","Perityle_aglossa_84_dead_horse",939476,161.1,0,0,602,1.8,82.23,69.44,56.64,37.54
"13","Perityle_ajoensis_204",856028,146.8,0,0,619,1.056,72.21,43.94,32.63,21.16
"14","Perityle_ambrosiifolia_67_green",846658,145.2,0,0,639,1.539,86.54,53.99,43.04,28.79
"15","Perityle_angustifolia_13_Eagle_creek",663299,113.7,0,0,684,3.643,98.68,95.76,88.16,71.05
"16","Perityle_batopilensis_97",890096,152.6,0,0,623,1.892,94.06,77.21,62.12,37.56
"17","Perityle_bisetosa_9",834697,143.1,0,0,564,3.466,98.94,96.28,89.01,69.33
"18","Perityle_californica_76_positas",688545,118.1,0,0,659,2.855,94.84,88.01,79.82,61.76
"19","Perityle_canescens_77",702269,120.4,0,0,666,1.72,94.89,69.52,48.65,29.58
"20","Perityle_carmenensis_122_Spellenberg9960",0,0,0,0,0,NA,NA,NA,NA,NA
"21","Perityle_castillonii_96",796513,136.6,0,0,633,1.584,84.52,59.4,48.18,30.17
"22","Perityle_cernua_84",759482,130.2,0,0,608,2.958,96.88,89.14,80.92,59.87
"23","Perityle_cfvillosa_25_tin",854997,146.6,0,0,640,1.621,86.56,64.06,48.28,30
