"","sample","bp","bpoftarget","paralogs_all","paralogs_each","nloci","allele_divergence","locus_heterozygosity","loci with >0.5% SNPs","loci with >1% SNPs","loci with >2% SNPs","pert","perc","gali","lap2","eute"
"1","Amauria_brandeegeana_62",220190,199.1,4,2,157,2.798,96.86,89.94,80.5,59.75,11.76222,10.44335,7.7165,13.4273,12.96951
"2","Amauria_carterae_99_mesa",110959,100.3,4,4,156,2.381,95,78.12,70.62,50,13.40754,9.21452,6.77138,11.00339,10.93619
"3","Amauria_rotundifolia_SRR9119150",244411,221,4,2,154,1.2,66.67,46.15,37.82,26.92,11.27653,11.05176,7.19144,12.18117,10.83986
"4","Conoclinium_coelestinum_SRR9119114",160488,145.1,4,7,146,0.869,67.32,29.41,22.88,13.07,7.65825,6.57358,5.40488,6.61655,7.37208
"5","Eutetras_palmeri_63",223017,201.6,4,5,155,1.92,90,78.12,66.88,40.62,4.19187,5.40627,3.43412,4.14421,58.8422
"6","Eutetras_pringlei_149_quer",58068,52.5,4,4,122,0.89,49.21,37.3,23.02,15.08,9.29852,4.84741,3.28946,4.8207,25.49428
"7","Eutrochium_fistulosum_SRR9119106",190906,172.6,4,2,158,2.059,85.62,68.75,56.25,39.38,9.81493,9.227,5.54786,9.13658,10.50597
"8","Galeana_pratensis_104_mex",84703,76.6,4,4,147,0.919,66.23,35.76,25.83,18.54,10.88951,7.16457,4.63734,7.48563,8.06372
"9","Helianthus_annuus_SRR9119062",180009,162.8,4,0,156,0.822,43.59,35.9,30.77,21.15,7.82146,5.16542,4.74637,5.3051,6.37575
"10","Lycapsus_tenuifolius_17",209740,189.6,4,1,155,4.731,98.72,94.87,94.23,88.46,11.53456,10.91367,8.85957,12.74954,12.12189
"11","Pericome_caudata_50_silver",276016,249.6,4,1,158,0.634,53.46,32.08,25.16,14.47,3.08947,66.99527,2.33248,3.0663,3.56521
"12","Perityle_aglossa_84_dead_horse",268539,242.8,4,0,159,1.902,84.91,69.81,57.23,44.03,6.64809,6.27759,6.66383,37.71119,6.65801
"13","Perityle_ajoensis_204",240020,217,4,3,157,1.164,83.12,53.12,40.62,30,6.16896,5.70738,6.1194,40.35068,7.37475
"14","Perityle_ambrosiifolia_67_green",223483,202.1,4,5,155,1.495,86.25,58.12,48.12,33.13,3.93229,3.39446,3.60438,55.92632,4.25054
"15","Perityle_angustifolia_13_Eagle_creek",158458,143.3,4,7,151,3.45,98.1,96.2,87.97,76.58,8.52477,5.04924,5.51787,29.93881,6.97962
"16","Perityle_batopilensis_97",242475,219.2,4,4,156,1.882,96.25,83.75,69.38,41.25,6.91313,7.64628,9.67532,29.01221,9.25752
"17","Perityle_bisetosa_9",248997,225.1,4,2,158,3.425,100,98.12,93.12,72.5,7.10813,5.54155,6.97819,37.22187,8.33878
"18","Perityle_californica_76_positas",165865,150,4,3,155,2.506,93.67,86.08,76.58,59.49,39.07516,3.24386,2.6409,3.34498,3.06794
"19","Perityle_canescens_77",181709,164.3,4,10,149,1.739,95.6,72.96,52.2,32.7,9.67206,6.90432,19.62584,12.15421,9.19739
"20","Perityle_castillonii_96",207481,187.6,4,2,158,1.541,86.25,64.38,55,38.75,7.14159,5.63946,6.18802,37.09324,8.21024
"21","Perityle_cernua_84",203688,184.2,4,5,154,3.09,98.11,89.94,83.02,69.18,7.86416,5.73161,6.47337,35.56424,8.41851
"22","Perityle_cfvillosa_25_tin",229487,207.5,4,2,158,1.65,91.25,71.25,56.88,39.38,6.4601,6.66182,6.58869,37.99646,6.31549
"23","Perityle_cinerea_113_Powell1310",68944,62.3,4,6,137,3.411,99.3,97.2,87.41,64.34,8.29891,4.22808,4.5031,16.77307,5.25655
"24","Perityle_coahuilensis_24",327709,296.3,4,1,158,1.445,90.57,59.12,47.8,31.45,4.54282,5.35199,6.13434,48.15,6.05534
"25","Perityle_cochisensis_44_cave_creek",205805,186.1,4,3,154,1.92,87.9,66.24,57.96,43.31,9.667,5.98154,5.30581,30.86624,6.5338
"26","Perityle_congesta_202",267164,241.6,4,3,157,1.42,83.75,64.38,53.75,28.75,5.66563,6.0754,6.12966,42.87211,7.28596
"27","Perityle_cordifolia_27",289639,261.9,4,3,155,1.03,61.39,43.67,32.28,21.52,5.96007,8.17523,8.86804,32.06613,8.53759
"28","Perityle_cordifolia_68_tecolote",297178,268.7,4,3,156,0.933,80.5,55.35,38.99,18.87,5.95921,9.09759,9.98971,26.47899,7.67427
"29","Perityle_coronopifolia_28_patagonia",259851,234.9,4,7,150,1.124,78.34,57.32,43.95,21.02,7.02796,7.4885,18.05903,12.05833,7.02118
"30","Perityle_crassifolia_70_ventanas",154341,139.5,4,3,156,1.758,86.79,65.41,54.09,37.11,14.01411,8.49771,6.71615,9.61785,8.62301
"31","Perityle_crassifolia_74_playa_balandra",96953,87.7,4,3,155,1.889,77.22,60.76,48.1,34.81,14.36127,8.28769,5.90124,8.5285,8.05025
"32","Perityle_cuneata_34_cuneata_San_antonio",228243,206.4,4,1,154,2.858,98.71,91.61,80,65.81,27.20719,7.48747,5.72818,8.05223,6.72548
"33","Perityle_cuneata_4",231811,209.6,4,2,152,3.213,99.35,94.16,81.17,65.58,16.88749,10.00549,9.18954,10.28219,11.07631
