"","sample","bp","bpoftarget","paralogs_all","paralogs_each","nloci","allele_divergence","locus_heterozygosity","loci with >0.5% SNPs","loci with >1% SNPs","loci with >2% SNPs","pert","perc","gali","lap2","eute"
"1","Amauria_brandeegeana_62",220190,199.1,4,2,157,2.798,96.86,89.94,80.5,59.75,0.301015274153708,0.155881900319231,0.1282713644589,0.240089102948308,0.220411711322826
"2","Amauria_carterae_99_mesa",110959,100.3,4,4,156,2.381,95,78.12,70.62,50,0.343121819590758,0.137539859157221,0.11256063654114,0.196747971259328,0.185856239229669
"3","Amauria_rotundifolia_SRR9119150",244411,221,4,2,154,1.2,66.67,46.15,37.82,26.92,0.288585638548889,0.164963287706729,0.119543293102353,0.217807465250708,0.184219148842158
"4","Conoclinium_coelestinum_SRR9119114",160488,145.1,4,7,146,0.869,67.32,29.41,22.88,13.07,0.195987681176481,0.0981200613117911,0.089845309704739,0.118308338542568,0.125285594352353
"5","Eutetras_palmeri_63",223017,201.6,4,5,155,1.92,90,78.12,66.88,40.62,0.107277103919728,0.0806962939323925,0.0570853700661695,0.074101246068041,1
"6","Eutetras_pringlei_149_quer",58068,52.5,4,4,122,0.89,49.21,37.3,23.02,15.08,0.237964988499087,0.0723545109975674,0.0546806871681426,0.0861973396425869,0.433265241612312
"7","Eutrochium_fistulosum_SRR9119106",190906,172.6,4,2,158,2.059,85.62,68.75,56.25,39.38,0.25118080130702,0.137726140964877,0.0922220659660405,0.163368160107799,0.178544819874172
"8","Galeana_pratensis_104_mex",84703,76.6,4,4,147,0.919,66.23,35.76,25.83,18.54,0.278681136558366,0.106941430342769,0.0770864937808377,0.133848070103665,0.137039743585386
"9","Helianthus_annuus_SRR9119062",180009,162.8,4,0,156,0.822,43.59,35.9,30.77,21.15,0.200164503485079,0.0771012640146088,0.0788988992583151,0.0948587355649362,0.108353358643966
"10","Lycapsus_tenuifolius_17",209740,189.6,4,1,155,4.731,98.72,94.87,94.23,88.46,0.295189066404335,0.162902097416728,0.147272614840813,0.227970300924502,0.206006743459626
"11","Pericome_caudata_50_silver",276016,249.6,4,1,158,0.634,53.46,32.08,25.16,14.47,0.0790648074121769,1,0.0387728104935002,0.0548274944605688,0.0605893389438192
"12","Perityle_aglossa_84_dead_horse",268539,242.8,4,0,159,1.902,84.91,69.81,57.23,44.03,0.170135963614736,0.0937019882149889,0.110772833100778,0.674301294989551,0.113150256108711
"13","Perityle_ajoensis_204",240020,217,4,3,157,1.164,83.12,53.12,40.62,30,0.157874209600165,0.0851907903348997,0.101722774271987,0.721497141238687,0.125330969950138
"14","Perityle_ambrosiifolia_67_green",223483,202.1,4,5,155,1.495,86.25,58.12,48.12,33.13,0.100634008920245,0.0506671590397352,0.0599156017142965,1,0.0722362522135474
"15","Perityle_angustifolia_13_Eagle_creek",158458,143.3,4,7,151,3.45,98.1,96.2,87.97,76.58,0.218163406112733,0.0753671117378884,0.0917235422544974,0.535325943133752,0.118615891316096
"16","Perityle_batopilensis_97",242475,219.2,4,4,156,1.882,96.25,83.75,69.38,41.25,0.176918789328054,0.114131639442605,0.160832825500743,0.518757715508548,0.157327904123231
"17","Perityle_bisetosa_9",248997,225.1,4,2,158,3.425,100,98.12,93.12,72.5,0.181909171965003,0.0827155409628172,0.115998438768023,0.665551926177156,0.141714279887564
"18","Perityle_californica_76_positas",165865,150,4,3,155,2.506,93.67,86.08,76.58,59.49,1,0.0484192391492713,0.043899675552324,0.0598104792162259,0.0521384312619175
"19","Perityle_canescens_77",181709,164.3,4,10,149,1.739,95.6,72.96,52.2,32.7,0.247524514295015,0.103056827743212,0.326240300065062,0.21732540242233,0.156306018469738
"20","Perityle_castillonii_96",207481,187.6,4,2,158,1.541,86.25,64.38,55,38.75,0.182765470442092,0.0841769874201567,0.102863444398233,0.663251935761194,0.139529793243624
"21","Perityle_cernua_84",203688,184.2,4,5,154,3.09,98.11,89.94,83.02,69.18,0.201257269324041,0.085552457658578,0.107606816892025,0.63591239330605,0.143069259816934
"22","Perityle_cfvillosa_25_tin",229487,207.5,4,2,158,1.65,91.25,71.25,56.88,39.38,0.165324978835659,0.099437169221051,0.109523781027241,0.679402113351996,0.107329263691704
"23","Perityle_cinerea_113_Powell1310",68944,62.3,4,6,137,3.411,99.3,97.2,87.41,64.34,0.212383263433854,0.0631101270283708,0.0748550225225001,0.299913707892813,0.0893329957071625
"24","Perityle_coahuilensis_24",327709,296.3,4,1,158,1.445,90.57,59.12,47.8,31.45,0.116258513080945,0.0798860874805042,0.101971121862866,0.86095419830949,0.102908116963676
"25","Perityle_cochisensis_44_cave_creek",205805,186.1,4,3,154,1.92,87.9,66.24,57.96,43.31,0.247395020263513,0.089283019532573,0.0881984692878475,0.551909011713984,0.111039356108371
