"","Amauria_brandeegeana_62","Amauria_carterae_99_mesa","Amauria_rotundifolia_SRR9119150","Conoclinium_coelestinum_SRR9119114","Eutetras_palmeri_63","Eutetras_pringlei_149_quer","Eutrochium_fistulosum_SRR9119106","Galeana_pratensis_104_mex","Helianthus_annuus_SRR9119062","Lycapsus_tenuifolius_17","Pericome_caudata_50_silver","Perityle_aglossa_84_dead_horse","Perityle_ajoensis_204","Perityle_ambrosiifolia_67_green","Perityle_angustifolia_13_Eagle_creek","Perityle_batopilensis_97","Perityle_bisetosa_9","Perityle_californica_76_positas","Perityle_canescens_77","Perityle_carmenensis_122_Spellenberg9960","Perityle_castillonii_96","Perityle_cernua_84","Perityle_cfvillosa_25_tin","Perityle_cinerea_113_Powell1310","Perityle_coahuilensis_24","Perityle_cochisensis_44_cave_creek","Perityle_congesta_202","Perityle_cordifolia_27","Perityle_cordifolia_68_tecolote","Perityle_coronopifolia_28_patagonia","Perityle_crassifolia_70_ventanas","Perityle_crassifolia_74_playa_balandra","Perityle_cuneata_34_cuneata_San_antonio","Perityle_cuneata_4","Perityle_discoidea_81","Perityle_dissecta_201","Perityle_emoryi_47_punta_san_jose","Perityle_feddemae_99","Perityle_fosteri_93","Perityle_gamon_221","Perityle_gentryi_8_san_francisco","Perityle_gilensis_22_Superstition","Perityle_gilensis_salensis_225","Perityle_glaucescens_94","Perityle_gracilis_11","Perityle_harkerae_31","Perityle_hofmeisteria_4_nombre_de_dios","Perityle_huecosensis_48","Perityle_incana_3_ucla","Perityle_intricata_59_Clark_mtns","Perityle_inyoensis_9_pleasant","Perityle_jaliscana_203","Perityle_lemmonii_12","Perityle_lemmonii_85_hachita","Perityle_lemmonii_colossal_cave_206","Perityle_leptoglossa_20_rancho_las_laminas","Perityle_lindheimeri_34","Perityle_lineariloba_78","Perityle_lloydii_79","Perityle_lobata_119_mesa_tinajas","Perityle_megalocephala_19_meg_Echo","Perityle_megalocephala_29_tin_mountain","Perityle_microglossa_73_tecolote","Perityle_microglossa_83_isla_venados","Perityle_montana_80","Perityle_palmeri_21_rancho_nuevo","Perityle_parryi_80_lower_window","Perityle_pseudociliata_140","Perityle_reinana_7_mazatan","Perityle_rosei_74","Perityle_rosei_jalisco_223","Perityle_rupestris_10_rupestris_davis","Perityle_rupestris_30_albiflora_chisos","Perityle_saxicola_224","Perityle_socorrensis_san_benedicto_213","Perityle_specuicola_41_negro_bill_canyon","Perityle_stansburyi_42_rock_spring","Perityle_staurophylla_42","Perityle_tenella_86_Beaver_dam","Perityle_trichodonta_bolanos_208","Perityle_turneri_33_Mexiquilla","Perityle_vandevenderi_117_sierra_cucurpe","Perityle_vaseyi_ernst_209","Perityle_vigilans_109","Perityle_villosa_45_Hanuapah_cyn","Perityle_yellow_87"
"At1g01050",0.0207416719044626,0.00497512437810945,0.0137659783677483,0.0387984981226533,0.0235882773409578,0.021484375,0.00739827373612824,0.042483660130719,0.00744416873449132,0.0886243386243386,0.0185873605947955,0.0511363636363636,0.0364285714285714,0.101598173515982,0.0637140637140637,0.0805523590333717,0.0544488711819389,0.017274472168906,0.0528771384136858,NA,0.0547195622435021,0.0657734470158343,0.0417690417690418,0.06282722513089,0.0489967335510966,0.021551724137931,0.0315876974231089,0.0519366197183099,0.028281363306744,0.0276381909547739,0.0282308657465496,0.0401284109149278,0.0507317073170732,0.0508259212198221,0.0889894419306184,0.0140421263791374,0.0593368237347295,0.0482051282051282,0.0678362573099415,0.0472541507024266,0.0412087912087912,0.0563674321503132,0.031031031031031,0.0234260614934114,0.0613496932515337,0.0867768595041322,0.0252187339166238,0.0746835443037975,0,0.0580580580580581,0.0403618649965205,0.0340314136125654,0.0671100362756953,0.0131281122679946,0.0660919540229885,0.0430194805194805,0.0679611650485437,0.0271186440677966,0.12621359223301,0.0317662007623888,0.0538005923000987,NA,0.0352112676056338,0.0921985815602837,0.0888888888888889,0.117647058823529,0.0336,0.021978021978022,0.0228699551569507,0.0337078651685393,NA,0.0631229235880399,0.123711340206186,NA,0.0100430416068867,0.0285241835469202,0.0741721854304636,0.0518691588785047,0.0383509108341323,0.0273522975929978,0.0174825174825175,0.0354969574036511,0.0227272727272727,0.0211081794195251,NA,0.0671342685370741
"At1g01470",0.0400500625782228,0.11142061281337,NA,0.0109140518417462,0.0198598130841121,0.00478468899521531,0,0.00103734439834025,0,0.0303030303030303,0,0.0398428731762065,0,0.0138888888888889,0.0280112044817927,0.0375690607734807,0.0492610837438424,0.0296610169491525,0.0209090909090909,NA,0.0142551674982181,0.0304182509505703,0.0321027287319422,0.00983606557377049,0.00554785020804438,0,0.00673724735322425,0.000918273645546373,0.0168005843681519,0.0142083897158322,0.00599700149925037,0.0290909090909091,0.0191326530612245,NA,0.0215252152521525,0.0144063586686538,0.0459290187891441,0.0178571428571429,0.0168444693992139,0.0282208588957055,0,0.0246305418719212,0,0.0155688622754491,0.0217054263565891,0,0.00133809099018733,0,0.0486486486486487,0.00905562742561449,0.0172159370388588,0.013986013986014,0.00842696629213483,0,0.0134744947064485,0.0613207547169811,0.0394644115574348,0.0345158197507191,0.0239234449760766,0.0208926875593542,0.0340086830680174,0.0418041804180418,0.0612244897959184,0.0478927203065134,0.0183098591549296,0.0387931034482759,0.0180623973727422,0.00809138505473584,0.0567010309278351,0.00847457627118644,NA,0.00598802395209581,0.00131926121372032,0.00652741514360313,0.00681044267877412,0.018018018018018,0.00188679245283019,0.00955794504181601,0.0318471337579618,0.00535331905781585,0.00579839429081177,0.00813008130081301,0.0139567341242149,0.0528925619834711,0,0.0311714429361488
"At1g01730",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0.00348432055749129,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,0.0144230769230769,0.0590277777777778,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0.011214953271028,NA,NA,NA,0.0366197183098592,NA,NA,NA,NA,0.00151745068285281,NA,NA,NA,0.0015220700152207,NA,NA,0.0350553505535055,NA,0.0153452685421995,NA
"At1g01940",0.0125847047434656,0.00422832980972516,0,0,0,NA,0,0,0,0.0245464247598719,0,0.00381315538608198,0,0.00111856823266219,0.00427807486631016,0.00845070422535211,NA,0.0206100577081616,0.00233918128654971,NA,0.00716845878136201,0.0182529335071708,0.0148285449490269,0.00401606425702811,0.0192572214580468,0.00398936170212766,0,0.00859598853868195,0,0.000734214390602056,0.00457317073170732,0.00215982721382289,0,0.0401119402985075,0.0354166666666667,0,0.0554347826086957,0,0.00122850122850123,0,0.0097799511002445,0.0110497237569061,0,0,NA,0.00457456541628545,0,0,0.0101302460202605,0.0184162062615101,0.00152788388082506,0.018348623853211,0.000931098696461825,0.00715421303656598,NA,0.00842266462480858,0.00516129032258065,0,0,0.00170940170940171,0.00513347022587269,0.0218140068886338,NA,0.0238726790450928,0.00431499460625674,0.0149892933618844,0.00836820083682008,0.00164880461665293,0.00364431486880466,NA,0.0547833197056419,0,0,0.00446144040790312,0,0.0143702451394759,0.00204081632653061,0.00447928331466965,0.041994750656168,0.00100300902708124,0,0.00915750915750916,0.0198863636363636,0.00975609756097561,0.00843881856540084,0.0545454545454545
"At1g02140",0.0374853572823116,0.0641025641025641,0.0168444693992139,NA,0.0214431586113002,0.00460829493087558,0.0203023758099352,0.0347734457323498,0.00616937745372967,0.0591922005571031,0.017583239805462,0.0115074798619102,0.026,0,0.0249621785173979,0.0288634996993385,0.0207382828701783,0.0531531531531532,0.0358090185676393,NA,0.0111111111111111,0.0176304654442877,0.0111599594183294,0.028913260219342,0.0205371248025276,0.0156918687589158,0.0182060390763766,0.0250085645769099,0.0385837494325919,NA,0.0224924012158055,0.0309050772626932,0.0232204035020936,0.0384251968503937,0.0652048470859781,0.017641293694871,0.048045757864633,0.023841059602649,0.0258760107816712,NA,0.023784355179704,0.0182450043440487,0.0097760958688111,0.0250189537528431,0.014544164597375,0.0170340681362725,0.00658978583196046,0.00510204081632653,0.0996784565916399,0.0186011904761905,0.00700280112044818,0.0424646128226478,0.0311587147030185,0.00935339568930459,0.00665004156275977,0.0164319248826291,0.00589496248660236,NA,0.00756302521008403,0.0357142857142857,0.019306099608282,0.0128205128205128,0.0369181380417336,0.0175953079178886,0.0555555555555556,0.0318906605922551,0.0491929285165257,0.028731045490822,0.017910447761194,0.0168141592920354,0.0296453149814717,0.0299319727891156,0.00152594099694812,0.0121347201584943,0.0163766632548618,0.0171156893819334,0.0128032345013477,0.00692383778437191,0.0117899249732047,0.0171919770773639,0.013840830449827,0.00786541402665501,0.0207509881422925,0.00779220779220779,0.0119012198750372,0.0688131313131313
"At1g02170",0.0208199871877002,0.0112888052681091,0.000291545189504373,NA,0.0161567548985906,0.0219594594594595,NA,0.00545702592087312,0.0199146514935989,0.0456852791878173,0,0.01,0.0165686798503474,0.0376310919185688,0.0725299828669332,0.010850942318675,0.0424349583228088,0.00374064837905237,0.00909681611435997,NA,0.00327088908712459,0.0145542753183748,0.0320496894409938,0.0568990042674253,0.0291406482307464,0.015748031496063,0.0224056603773585,0.00121679172581626,0.0232913325696831,0.0119912790697674,0.00944424264438794,0.00367647058823529,0.0215505913272011,0.026581343834605,0.043557168784029,0.0052337752965806,NA,0.00581395348837209,0.0377578824445309,0,0.00657714442312962,0.0313820156910078,0.00769559640872168,0.0156679494227598,0.0195439739413681,0.0207893943959024,0.0361359570661896,0.00214075461600214,0.0582980724024448,0.0687768659632669,0.0608133789433675,0.00561955605507165,0.0323709536307962,0.0322170411191183,0.0321755027422303,0.00466116887773396,0.0237580993520518,0.0165441176470588,0.000527704485488127,0.0233100233100233,0.0683585755218993,0.0605691056910569,0.0246059207996924,0.0142276422764228,0.0270185359723531,0.0155210643015521,0.0638792102206736,0.00807754442649435,0.0133237306445805,0.0107160253287871,NA,0.0172642762284197,0.00701754385964912,0.00203804347826087,0.00196656833824975,0.0498721227621483,0.0142106889094841,0.0374347069065583,0.0297029702970297,0.00273099681383705,0.00967048710601719,0.0149253731343284,0.00215982721382289,0.0110294117647059,0.0328312089609888,0.0775427995971803
"At1g02640",NA,0.00344827586206897,NA,NA,NA,0,NA,0.00134589502018843,NA,0.0392620624408704,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0654761904761905,NA,NA,NA,NA,NA,NA,NA,0.00136986301369863,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.072992700729927,NA,0.0323054331864905,NA,NA,NA,NA,NA,0.0357941834451902,NA,NA,NA,NA,NA,NA,0.0261682242990654,NA,NA,NA,NA,NA,NA,NA
"At1g03220",0.00170357751277683,0.00728155339805825,0,NA,0,NA,NA,NA,0,NA,0,0.0176643768400393,0.0180952380952381,0.00392927308447937,NA,0.0255885363357216,0.0162241887905605,0.0157194679564692,NA,NA,0,0.0190796857463524,0.00225988700564972,NA,0.000631711939355654,0.0231607629427793,0,0,0.00878972278566599,0,0.0161616161616162,0.00891530460624071,0.0307557117750439,0.0420673076923077,NA,0.00526777875329236,NA,0.00635930047694754,NA,0,0.00489236790606654,0.0313852813852814,0.00424808836023789,0,0.016,0.00398803589232303,0.0128205128205128,0.00746268656716418,NA,0.0120967741935484,0.0131040131040131,0.00586264656616415,0.00401606425702811,NA,0.0206611570247934,NA,0.0151098901098901,0.0214477211796247,0,0.0118811881188119,0.00353356890459364,0.0229485396383866,0.00122699386503067,0,NA,0.034965034965035,0.0177993527508091,0.00291545189504373,NA,0.00591016548463357,NA,0,NA,0.00151630022744503,0,0.00494350282485876,0.0106075216972035,0,NA,0.00216216216216216,0.00994200497100249,0.00819672131147541,NA,0.00705882352941176,0,NA
"At1g03250",0.0703933747412008,0.037037037037037,0,0.00122100122100122,0.00186046511627907,NA,0.0138121546961326,0,0.00864197530864197,0.0494216614090431,0,0.00172265288544358,0.000822368421052632,0.0328042328042328,NA,0.0289687137891078,0.0669230769230769,0.0757180156657963,0.018450184501845,NA,0.000998003992015968,0.0184782608695652,0.00206825232678387,0.0308880308880309,0,0.0431965442764579,0,0,0.00222057735011103,0,0.00161812297734628,0.016260162601626,0.037156704361874,0.00808229243203527,0.0584615384615385,0.0515907136715391,0.111111111111111,0.0287569573283859,0.0158013544018059,0,0.0120918984280532,0.064570943075616,0,0.00302571860816944,0.0616822429906542,0.0158870255957635,0,0.0568421052631579,0.0617848970251716,0.00148038490007402,0,0.0174757281553398,0.100686498855835,0.0170403587443946,0.0592841163310962,0.0154125113327289,0.0606796116504854,0.0182260024301337,0.00564971751412429,0.0166320166320166,0.011963406052076,0.00202702702702703,0.0411347517730496,0.028169014084507,0.0305343511450382,0.0075187969924812,0.042320819112628,0.00608695652173913,0.027979274611399,0.017913593256059,0.0643033800494641,0,0.0537745604963806,0.000696864111498258,0,0.0273492286115007,0.0244648318042813,0.00426621160409556,0.0888157894736842,0.0208136234626301,0.00737463126843658,0.00194552529182879,0.0183574879227053,0.0669456066945607,0.00410396716826265,0.0814176245210728
"At1g03470",NA,0.00826446280991736,0,0.0046656298600311,NA,0,0.0105140186915888,0,0.0109756097560976,NA,0.00758293838862559,0,0,0,NA,NA,0.0612021857923497,NA,NA,NA,NA,0.0449029126213592,0.0593667546174142,0.0162337662337662,0.000750750750750751,0.00671140939597315,0,0.00485044462409054,0,0,NA,0,0.0195530726256983,0,NA,NA,NA,0.0145299145299145,0.00323275862068966,0,0.00537056928034372,0.0122377622377622,0.00560747663551402,0.00738007380073801,0.00677637947725073,0,0.00131319763624425,0,NA,0.00741289844329133,0,0.00620017714791851,NA,0.00129366106080207,0.0226171243941842,NA,0.00965018094089264,NA,0.00897666068222621,0.00902255639097744,0.0074487895716946,0.00614035087719298,0.0476839237057221,0.0230414746543779,0.0451612903225806,0.0171232876712329,NA,0.00423370025402202,0.00488400488400488,0.00976138828633406,NA,NA,0,0.0339270568278202,0.0036697247706422,0.0154162384378212,0.008859357696567,NA,0.0292682926829268,0,0.00984251968503937,0,0.0237899917965546,0,NA,NA
