"","Amauria_brandeegeana_62","Amauria_carterae_99_mesa","Amauria_rotundifolia_SRR9119150","Conoclinium_coelestinum_SRR9119114","Eutetras_palmeri_63","Eutetras_pringlei_149_quer","Eutrochium_fistulosum_SRR9119106","Galeana_pratensis_104_mex","Helianthus_annuus_SRR9119062","Lycapsus_tenuifolius_17","Pericome_caudata_50_silver","Perityle_aglossa_84_dead_horse","Perityle_ajoensis_204","Perityle_ambrosiifolia_67_green","Perityle_angustifolia_13_Eagle_creek","Perityle_batopilensis_97","Perityle_bisetosa_9","Perityle_californica_76_positas","Perityle_canescens_77","Perityle_castillonii_96","Perityle_cernua_84","Perityle_cfvillosa_25_tin","Perityle_cinerea_113_Powell1310","Perityle_coahuilensis_24","Perityle_cochisensis_44_cave_creek","Perityle_congesta_202","Perityle_cordifolia_27","Perityle_cordifolia_68_tecolote","Perityle_coronopifolia_28_patagonia","Perityle_crassifolia_70_ventanas","Perityle_crassifolia_74_playa_balandra","Perityle_cuneata_34_cuneata_San_antonio","Perityle_cuneata_4","Perityle_discoidea_81","Perityle_dissecta_201","Perityle_emoryi_47_punta_san_jose","Perityle_feddemae_99","Perityle_fosteri_93","Perityle_gamon_221","Perityle_gentryi_8_san_francisco","Perityle_gilensis_22_Superstition","Perityle_gilensis_salensis_225","Perityle_glaucescens_94","Perityle_gracilis_11","Perityle_harkerae_31","Perityle_hofmeisteria_4_nombre_de_dios","Perityle_huecosensis_48","Perityle_incana_3_ucla","Perityle_intricata_59_Clark_mtns","Perityle_inyoensis_9_pleasant","Perityle_jaliscana_203","Perityle_lemmonii_12","Perityle_lemmonii_85_hachita","Perityle_lemmonii_colossal_cave_206","Perityle_leptoglossa_20_rancho_las_laminas","Perityle_lindheimeri_34","Perityle_lineariloba_78","Perityle_lloydii_79","Perityle_lobata_119_mesa_tinajas","Perityle_megalocephala_19_meg_Echo","Perityle_megalocephala_29_tin_mountain","Perityle_microglossa_73_tecolote","Perityle_microglossa_83_isla_venados","Perityle_montana_80","Perityle_palmeri_21_rancho_nuevo","Perityle_parryi_80_lower_window","Perityle_pseudociliata_140","Perityle_reinana_7_mazatan","Perityle_rosei_74","Perityle_rosei_jalisco_223","Perityle_rupestris_10_rupestris_davis","Perityle_rupestris_30_albiflora_chisos","Perityle_saxicola_224","Perityle_socorrensis_san_benedicto_213","Perityle_specuicola_41_negro_bill_canyon","Perityle_stansburyi_42_rock_spring","Perityle_staurophylla_42","Perityle_tenella_86_Beaver_dam","Perityle_trichodonta_bolanos_208","Perityle_turneri_33_Mexiquilla","Perityle_vandevenderi_117_sierra_cucurpe","Perityle_vaseyi_ernst_209","Perityle_vigilans_109","Perityle_villosa_45_Hanuapah_cyn","Perityle_yellow_87"
"At1g01470",0.0400500625782228,0.11142061281337,NA,0.0109140518417462,0.0198598130841121,0.00478468899521531,0,0.00103734439834025,0,0.0303030303030303,0,0.0398428731762065,0,0.0138888888888889,0.0280112044817927,0.0375690607734807,0.0492610837438424,0.0296610169491525,0.0209090909090909,0.0142551674982181,0.0304182509505703,0.0321027287319422,0.00983606557377049,0.00554785020804438,0,0.00673724735322425,0.000918273645546373,0.0168005843681519,0.0142083897158322,0.00599700149925037,0.0290909090909091,0.0191326530612245,NA,0.0215252152521525,0.0144063586686538,0.0459290187891441,0.0178571428571429,0.0168444693992139,0.0282208588957055,0,0.0246305418719212,0,0.0155688622754491,0.0217054263565891,0,0.00133809099018733,0,0.0486486486486487,0.00905562742561449,0.0172159370388588,0.013986013986014,0.00842696629213483,0,0.0134744947064485,0.0613207547169811,0.0394644115574348,0.0345158197507191,0.0239234449760766,0.0208926875593542,0.0340086830680174,0.0418041804180418,0.0612244897959184,0.0478927203065134,0.0183098591549296,0.0387931034482759,0.0180623973727422,0.00809138505473584,0.0567010309278351,0.00847457627118644,NA,0.00598802395209581,0.00131926121372032,0.00652741514360313,0.00681044267877412,0.018018018018018,0.00188679245283019,0.00955794504181601,0.0318471337579618,0.00535331905781585,0.00579839429081177,0.00813008130081301,0.0139567341242149,0.0528925619834711,0,0.0311714429361488
"At1g03250",0.0703933747412008,0.037037037037037,0,0.00122100122100122,0.00186046511627907,NA,0.0138121546961326,0,0.00864197530864197,0.0494216614090431,0,0.00172265288544358,0.000822368421052632,0.0328042328042328,NA,0.0289687137891078,0.0669230769230769,0.0757180156657963,0.018450184501845,0.000998003992015968,0.0184782608695652,0.00206825232678387,0.0308880308880309,0,0.0431965442764579,0,0,0.00222057735011103,0,0.00161812297734628,0.016260162601626,0.037156704361874,0.00808229243203527,0.0584615384615385,0.0515907136715391,0.111111111111111,0.0287569573283859,0.0158013544018059,0,0.0120918984280532,0.064570943075616,0,0.00302571860816944,0.0616822429906542,0.0158870255957635,0,0.0568421052631579,0.0617848970251716,0.00148038490007402,0,0.0174757281553398,0.100686498855835,0.0170403587443946,0.0592841163310962,0.0154125113327289,0.0606796116504854,0.0182260024301337,0.00564971751412429,0.0166320166320166,0.011963406052076,0.00202702702702703,0.0411347517730496,0.028169014084507,0.0305343511450382,0.0075187969924812,0.042320819112628,0.00608695652173913,0.027979274611399,0.017913593256059,0.0643033800494641,0,0.0537745604963806,0.000696864111498258,0,0.0273492286115007,0.0244648318042813,0.00426621160409556,0.0888157894736842,0.0208136234626301,0.00737463126843658,0.00194552529182879,0.0183574879227053,0.0669456066945607,0.00410396716826265,0.0814176245210728
"At1g04560",0.0645161290322581,0,0.0278330019880716,0.00252951096121417,0.0208926875593542,0.0201149425287356,0.022020725388601,NA,0,0.0522613065326633,0,0.0417044424297371,0.0130718954248366,0.0123456790123457,0.122923588039867,0.0228937728937729,0.0455974842767296,0,0.0197152245345016,0.044613710554951,0.0442678774120318,0.0357554786620531,NA,0.0116438356164384,0.0251655629139073,0.0128676470588235,0.0393852065321806,0.0130315500685871,0.0160051216389245,0.0506024096385542,0.0215827338129496,0.0205724508050089,0.0245579567779961,0.041816009557945,0.0467289719626168,0.0398179749715586,0.0118845500848896,0.0359028511087645,0.00655430711610487,0.0481220657276995,0,0.0620549338758901,0.0223463687150838,0.0509461426491994,0,0.00705716302046577,0.0129032258064516,0.0797636632200886,0.0352852852852853,0.0149875104079933,0.00197044334975369,0.0605405405405405,0.00768573868488471,0.0315789473684211,0.00673400673400673,0.0290771175726928,0.0267489711934156,0.0396396396396396,0.036734693877551,0.0069364161849711,0.024517087667162,0.0464088397790055,0.012853470437018,0.0185185185185185,0.0536193029490617,0,0.0103871576959396,0.0050125313283208,0.00849617672047579,0.019047619047619,0.0375275938189845,0.00933609958506224,0.0165041260315079,0.0215946843853821,0.0172839506172839,0.0182025028441411,0.0560846560846561,0.019774011299435,0.0191082802547771,0.0276198212835093,0.00831600831600832,0.0384204909284952,0.0879478827361563,0.0075821398483572,0.0616016427104723
"At1g05720",0.0226455787203451,0.0261121856866538,0.000417885499373172,0.00309405940594059,0.00272727272727273,NA,0.0413793103448276,0,0.0175150519978106,0.0553745928338762,0.00034435261707989,0.0178954903364352,0,0.0194235588972431,0.00947867298578199,0.015748031496063,0.036557149467839,0.0332167832167832,0.00928571428571429,0.0190995907230559,0.0526627218934911,0.00931098696461825,0.0152091254752852,0.0377487989018531,0.0197368421052632,0.0138089758342923,0.0170094936708861,0,0.00168350168350168,0.0213675213675214,0.00469483568075117,0.0310333443380654,0.0461811722912966,0.0736975857687421,NA,0.067287784679089,0.00405186385737439,0.0322952710495963,0.0100502512562814,0.0345717234262126,0.0213795885437676,0.000848896434634975,0.0141632500931793,0.0433632998413538,0.0158490566037736,0,0.00748502994011976,NA,0.0238095238095238,0.0130456598093327,0.0111867704280156,0.0193434935521688,0.0317460317460317,0,0.0116913484021824,0,0.000988630746416213,0.000890471950133571,0.0146627565982405,0.0133502860775588,0.0287081339712919,0.0175920835623969,0.00736196319018405,0.0660749506903353,0.0418848167539267,0.0351470091247043,0.00837988826815642,0.0129032258064516,0.0100704934541793,0.0536672629695885,0.0105820105820106,0,0.0013869625520111,0,0.00737291424136593,0.0180072028811525,0,0.012093023255814,0,0,0.00553359683794466,0.0164835164835165,0.00327510917030568,0.0311598384304674,0.0582722086389568
"At1g11790",0.0172413793103448,0.0025,0,0.00138312586445367,0.00464252553389044,0,0,0.0546218487394958,0.000795544948289578,0.0657065706570657,0,0.00520381613183001,0.00094876660341556,0.0152173913043478,0.0913978494623656,0.0217391304347826,0.0315186246418338,0.0693069306930693,0.0710227272727273,0.0240615976900866,0.0141911069063387,0.0342920353982301,0.00622406639004149,0.0194968553459119,0.00668576886341929,0.0269337016574586,0,0.0121163166397415,0.00346020761245675,0.0508221225710015,0,0.00566037735849057,0.00993676603432701,0.0718002081165453,0.00746268656716418,0.098677517802645,0.0206440957886045,0.00099403578528827,0.000901713255184851,0.0184994861253854,0.00321802091713596,0,0.000959692898272553,0.0893470790378007,0.0104493207941484,0.0196078431372549,0.00647948164146868,0.0651162790697674,NA,0.0440199335548173,0.0102476515798463,0.00102354145342886,0.0334788937409025,0.00165837479270315,0.0289855072463768,0.0224828934506354,0,0,0.0280373831775701,0.00237717908082409,0.0329815303430079,0,0,0.036144578313253,0.0245901639344262,0.00997150997150997,0.0008424599831508,0.0349716446124764,0,0.0659340659340659,0.0148148148148148,0,0,0,0.0465293668954996,0.0456365092073659,0.00319744204636291,0.0951219512195122,0,0.000788643533123028,0.0372460496613995,0.00873362445414847,0,0.0390275111964171,0.0906040268456376
"At1g12840",0.0492662473794549,0.0639344262295082,0.0650337837837838,0,0.054421768707483,0,0.0416197975253093,0,0.0463182897862233,0.0895522388059701,0.044512663085188,0.0472560975609756,0.0279965004374453,0.0169189670525378,0.0585241730279898,0.0262919310970082,0.0307950727883539,0.0210526315789474,0.0488058151609553,0.0425925925925926,0.0636132315521628,0.032171581769437,0.0175675675675676,0.024841132293472,0.0312849162011173,0.046572934973638,0.025974025974026,0.0334426229508197,0.0408011869436202,0.0118946474086661,0.0472312703583062,0.0431177446102819,0.0491428571428571,0.0729411764705882,0.0495672698662471,0.0827374872318693,0.0161870503597122,0.0584415584415584,0.0278571428571429,0.0141921397379913,0.0216763005780347,0.0378719567177637,0.00793650793650794,0.0479360852197071,0.0169721656483367,0.0199128811449907,0.0356839422259983,0.0594947025264874,0.0345501955671447,0.025,0.0190311418685121,0.0817031070195627,0.0362173038229376,0.031434184675835,0.0503978779840849,0.048025613660619,0.0254323499491353,0.0338164251207729,0.037037037037037,0.045633359559402,0.0496742671009772,0.0474198047419805,0.0692934782608696,0.0794824399260629,0.0420475319926874,0.0336889387984278,0.0331550802139037,0.0473876063183475,0.0375,0.0857805255023184,0,0.0633047210300429,0.0270906949352179,0.040097205346294,0.0550098231827112,0.0493697478991597,0.0486111111111111,0.0298210735586481,0.0599793174767322,0.0357653791130186,0.0276243093922652,0.039747064137308,0.00578871201157742,0.0500379075056861,0.0692924872355945
"At1g13700",0.00645161290322581,0.00551470588235294,0,NA,0.0885142255005269,0.0294380017841213,0.0169840452907874,0,0.0448895027624309,0.0970031545741325,0.00168421052631579,0.0111275964391691,0.0365168539325843,0.00295712173484475,0.0346820809248555,0.00813786500718047,0.0543288785589773,0.0170098478066249,0.0010126582278481,0.00607192900513779,0.0421081985499163,0.0166083916083916,0.00891089108910891,0.00684684684684685,0.00514800514800515,0.00844444444444444,0.0171725239616613,0.00317838696861343,0,0.00965824665676077,0.00669216061185468,0.0402930402930403,0.0747224594363792,0.0839944003733085,0.0368852459016393,0.0978043912175649,0.000907441016333938,0.0188501413760603,0.0100305276929786,0.0105407882676444,0.0168187001140251,0,0.00086095566078347,0.0264131008980454,0.00737527114967462,NA,0.0150181253236665,0.0570469798657718,0.0258928571428571,0.00640512409927942,0.0062111801242236,0.00365344467640919,0,0.0140096618357488,0.0541387024608501,0.0193798449612403,0.0199203187250996,0,0.00860719874804382,0.029275092936803,0.0292625829106516,0.032258064516129,0.0192771084337349,0.0596658711217184,0.0198198198198198,0.0250467289719626,0.00991806813281587,0.0164759725400458,0.00382958353279081,0.0664573521716379,0.00753295668549906,0.00682302771855011,0.00977326035965598,0,0.0238200264666961,0.0184254606365159,0.0008587376556462,0.0259481037924152,0.000931098696461825,0,0.00126957257723233,0.00760263558033452,0.0473484848484848,0.0317796610169492,0.0930232558139535
"At1g14620",0.0343818580833943,0.0206362854686157,0.00843558282208589,0.0374331550802139,0.0173638516179953,0.00344827586206897,0.00273972602739726,0,0,0.0373390557939914,0.00124649423496416,0.00511322132943755,0.033085194375517,0.000851063829787234,0.0420535226652103,0.0142204164550533,0.0364854802680566,0.0292106898694842,0.00870511425462459,0,0.056512749827705,0.0108381502890173,0.0533088235294118,0.0186588921282799,0.0152413209144793,0.0276532137518685,0.00472334682860999,0.00443989071038251,0.00486111111111111,0.0362116991643454,0.0171184022824536,0.0531459987782529,0.00109170305676856,0.0512,0.0298651252408478,0.077377753895755,0.0169300225733634,0.01434034416826,0.0129277566539924,0.0159176029962547,0.044298605414274,0,0.000719165767709457,0.0192461908580593,0.0097997443544951,0.00527295285359802,0.00810611643330877,0.0658250676284941,0.0173285198555957,0.00979591836734694,0.0265638389031705,0.0427063339731286,0.00664251207729469,0.0175246440306681,0.0497547302032235,0.0113690194220748,0.0759734093067426,0.013869625520111,0.0586766541822722,0.0130123617436565,0.042910447761194,0.0583941605839416,0.0423162583518931,0.0482954545454545,0.0538461538461538,0.0124709976798144,0.00378644452858766,0.0220385674931129,0.0153550863723608,0.0357142857142857,0.0231124807395994,0.0450928381962865,0.0340632603406326,0,0.010547132498352,0.0187061574434918,0.0296950240770466,0.0149812734082397,0.00530503978779841,0.0105393676379417,0.00748440748440748,0.0364444444444444,0.029520295202952,0.0090311986863711,0.0616400660429279
"At1g15140",0.00876338851022395,0.0107858243451464,0.0277529095792301,0.00809248554913295,0.0342935528120713,0.00766283524904215,0.0609939759036145,0,0,0.114832535885167,0.00772797527047913,0.035548686244204,0.000941619585687382,0.00922509225092251,0.0534698521046644,0.010016694490818,0.0296671490593343,0.0449927431059507,0.0099009900990099,0.000954198473282443,0.10828025477707,0.0553814002089864,0.0267062314540059,0.0519572953736655,0.0182186234817814,0,0.0116678105696637,0,0.00809418690213392,0.00280112044817927,0.0799031476997579,0.0423108218063466,0.0480464625131996,0.0570071258907363,0.00509337860780985,0.10455764075067,0.00072992700729927,0.0110294117647059,0.012472487160675,0.000881057268722467,0.00135593220338983,0,0.0192572214580468,0.0263959390862944,0.00906344410876133,0.0461095100864553,0.000827129859387924,0.0496141124586549,0.0189969604863222,0.00836820083682008,0.0302521008403361,0.0377551020408163,0.0016849199663016,0.0283569641367807,0.0148902821316614,0.00837988826815642,0.0865921787709497,0,0.0403225806451613,0.0436241610738255,0.0517897943640518,0.0646766169154229,0.101818181818182,0.132530120481928,0.066193853427896,0.0170068027210884,0.0186046511627907,0,0.00496524329692155,0.048605577689243,0.00591715976331361,0.000925069380203515,0.0687397708674304,0.0194063926940639,0.000831255195344971,0.00646352723915051,0,0.00684931506849315,0,0.0180722891566265,0.0186084142394822,0,0.0266272189349112,0.0302013422818792,0.0649122807017544
"At1g16080",0.0226337448559671,0.00508905852417303,0,0.00145032632342277,0.0198565912851627,0,0.054590570719603,0,0,0.0314606741573034,0,0.001743679163034,0.00736887732986563,0.00276243093922652,0.00869565217391304,0.0152838427947598,0.0335700451904455,0.00730747611017426,0.05359394703657,0.00798403193612774,0.0405405405405405,0.0131054131054131,0.0182370820668693,0.00833965125094769,0.0185185185185185,0.019299967288191,0,0.00157232704402516,0.00621890547263682,0.00558659217877095,0.0616966580976864,0.0408990420044215,NA,0.0445103857566766,0.00143184421534937,0.0350172215843858,0.00466299279355659,0.0239625949736996,0.00131665569453588,0.00590762620837809,0.0323008849557522,0.00696257615317668,0.00607287449392713,0.04249547920434,0.00744186046511628,0,0.00203086921202275,NA,0.0202360876897133,0.0298126064735945,0.014692378328742,0.0100727476217124,0.0179499291450165,0.0220588235294118,0.00390625,0.00872727272727273,0.0157342657342657,0.00612870275791624,0.0111587982832618,0.0257352941176471,0.0415676959619952,0.0426599749058971,0.0351123595505618,0.0605612998522895,0.000917431192660551,0.0305676855895196,0.00432152117545376,0.00584532374100719,0.0345926263086026,0.053735255570118,0.00554016620498615,0.00780379041248606,0.0149253731343284,0,0.0317460317460317,0,0.0125922709509336,0.016497461928934,0,0,0.0125934671389217,0.025,0.0154083204930663,0,0.052431289640592
