"","pert","perc","gali","lap1","lap2","eute"
"Amauria_brandeegeana_62",9.75114,8.82341,6.4382,9.63171,9.74408,11.11885
"Amauria_carterae_99_mesa",10.66519,7.70328,5.61189,10.62371,7.92727,9.19323
"Amauria_rotundifolia_SRR9119150",8.49596,9.52986,6.23817,8.3275,8.81589,9.28871
"Conoclinium_coelestinum_SRR9119114",6.12728,5.52756,4.55356,5.523,4.791,6.19642
"Eutetras_palmeri_63",3.51738,4.83483,2.95806,3.38324,3.28425,57.92258
"Eutetras_pringlei_149_quer",7.34747,4.00408,2.92657,6.85816,3.71957,24.55403
"Eutrochium_fistulosum_SRR9119106",7.16465,7.7843,4.67638,7.32435,6.46817,8.7029
"Galeana_pratensis_104_mex",9.05315,6.05312,3.92253,7.80929,5.28754,6.79563
"Helianthus_annuus_SRR9119062",6.39541,4.37751,4.06529,4.97349,3.56709,5.16878
"Lycapsus_tenuifolius_17",9.93075,9.61636,7.67194,7.41451,9.8112,10.88294
"Pericome_caudata_50_silver",2.59181,66.36123,1.9833,2.40672,2.40517,3.20651
"Perityle_aglossa_84_dead_horse",4.62671,4.76667,5.03776,12.18565,29.68961,5.04636
"Perityle_ajoensis_204",4.54055,4.22407,4.69799,11.40111,32.83855,5.63818
"Perityle_ambrosiifolia_67_green",3.03146,2.73803,2.94243,5.39209,52.58258,3.44211
"Perityle_angustifolia_13_Eagle_creek",6.25848,3.67343,4.29318,12.63337,24.23827,5.31488
"Perityle_batopilensis_97",5.08442,5.73022,7.39112,16.11197,20.3673,6.83457
"Perityle_bisetosa_9",5.02377,4.2165,5.48221,13.33898,30.01897,6.19151
"Perityle_californica_76_positas",37.55524,2.87294,2.31551,3.10448,2.46704,2.62867
"Perityle_canescens_77",7.68351,5.67627,17.89699,9.64664,8.87181,7.52238
"Perityle_carmenensis_122_Spellenberg9960",NA,NA,NA,NA,NA,NA
"Perityle_castillonii_96",5.17922,4.11682,4.78713,12.93392,30.0448,6.16726
"Perityle_cernua_84",5.78959,4.19946,5.0733,12.61981,28.14688,6.37114
"Perityle_cfvillosa_25_tin",4.90942,4.87532,5.15202,11.04168,31.34307,4.79911
"Perityle_cinerea_113_Powell1310",6.15357,3.10495,3.6053,10.10664,12.98665,3.98632
"Perityle_coahuilensis_24",3.10832,4.11049,4.94198,9.16708,42.18939,4.77276
"Perityle_cochisensis_44_cave_creek",7.10464,4.6278,4.0215,12.38901,25.02024,4.78653
"Perityle_congesta_202",3.68146,4.44517,4.77739,12.33816,36.14625,5.6534
"Perityle_cordifolia_27",3.67502,5.25566,5.73155,23.85517,19.69832,5.685
"Perityle_cordifolia_68_tecolote",4.43351,7.2359,7.88245,13.40991,18.67831,5.84488
"Perityle_coronopifolia_28_patagonia",5.84693,6.22266,16.22186,6.6516,9.05357,5.84079
"Perityle_crassifolia_70_ventanas",11.72377,7.10793,5.82244,8.0224,7.15043,7.3639
"Perityle_crassifolia_74_playa_balandra",11.94352,6.9857,5.10844,8.81211,6.06518,6.81169
"Perityle_cuneata_34_cuneata_San_antonio",25.65869,6.36161,4.91489,5.67258,5.69742,5.72258
"Perityle_cuneata_4",15.31801,8.74112,8.02007,7.2777,8.0266,9.54267
"Perityle_discoidea_81",10.76023,8.8451,6.58852,8.10891,9.20618,10.90108
"Perityle_dissecta_201",4.60598,4.39119,4.66219,11.80604,33.16039,5.69247
"Perityle_emoryi_47_punta_san_jose",8.0379,7.49794,6.99902,11.06404,11.29493,7.92728
"Perityle_feddemae_99",7.34176,6.42665,17.01814,8.88212,9.16717,7.59434
"Perityle_fosteri_93",4.45995,4.84482,5.55663,12.75292,32.71664,6.54659
"Perityle_gamon_221",7.70769,6.47882,18.40817,8.93944,8.34798,7.35313
"Perityle_gentryi_8_san_francisco",4.97952,5.6442,7.04306,15.24273,17.31748,6.06859
"Perityle_gilensis_22_Superstition",5.22676,3.8866,3.5649,11.43321,34.79173,4.71398
"Perityle_gilensis_salensis_225",4.04476,4.10857,4.25476,10.19446,39.84503,5.13396
"Perityle_glaucescens_94",7.27219,7.04481,18.36859,8.87329,9.95727,7.83207
"Perityle_gracilis_11",4.76572,4.13587,5.0539,12.54466,33.30906,6.29419
"Perityle_harkerae_31",6.51661,6.37733,15.09549,7.80347,8.95008,7.30261
"Perityle_hofmeisteria_4_nombre_de_dios",5.63563,7.4843,20.93363,6.91296,9.28847,6.44741
"Perityle_huecosensis_48",5.06306,4.29077,5.41558,12.41117,31.91497,5.64096
"Perityle_incana_3_ucla",12.81401,6.03931,9.90577,11.156,11.20628,7.47651
"Perityle_intricata_59_Clark_mtns",4.50094,5.25955,4.57569,10.8976,34.92502,4.76431
"Perityle_inyoensis_9_pleasant",4.16291,4.78658,4.94924,11.07201,33.18825,5.291
"Perityle_jaliscana_203",7.02533,6.33975,16.15943,9.24084,8.81418,7.71178
"Perityle_lemmonii_12",4.75881,3.76182,4.4929,13.10133,34.98237,5.9684
"Perityle_lemmonii_85_hachita",3.68834,4.06304,4.43735,9.62601,28.60245,4.98412
"Perityle_lemmonii_colossal_cave_206",4.29171,3.79509,4.52338,11.59478,35.58902,5.47654
"Perityle_leptoglossa_20_rancho_las_laminas",4.878,4.87475,5.56958,21.84556,16.6403,5.63364
"Perityle_lindheimeri_34",5.50646,4.27441,4.98864,13.78962,31.65211,6.32354
"Perityle_lineariloba_78",7.37906,6.12266,17.69906,8.21194,9.0067,7.94443
"Perityle_lloydii_79",7.85283,4.53027,7.15235,17.58215,15.99677,6.88929
"Perityle_lobata_119_mesa_tinajas",5.04515,3.02891,2.72386,47.00084,6.75249,3.66365
"Perityle_megalocephala_19_meg_Echo",4.9234,4.4803,4.74402,10.60869,30.55262,5.09145
"Perityle_megalocephala_29_tin_mountain",4.1963,4.23806,4.60558,10.86393,33.21632,4.42221
"Perityle_microglossa_73_tecolote",7.22943,5.9504,16.19355,7.83527,8.69898,5.99348
"Perityle_microglossa_83_isla_venados",9.61949,4.79158,11.11508,9.37259,6.36096,5.19287
"Perityle_montana_80",9.02228,6.0359,13.30257,9.83156,8.99541,7.28438
"Perityle_palmeri_21_rancho_nuevo",6.84222,4.80893,3.76153,19.27969,9.90247,4.32545
"Perityle_parryi_80_lower_window",3.7976,5.4705,5.96297,11.45172,32.37497,4.97639
"Perityle_pseudociliata_140",6.61682,6.30904,16.84589,7.69845,9.36479,6.88343
"Perityle_reinana_7_mazatan",5.52055,3.90883,4.50815,19.61059,13.3443,5.14611
"Perityle_rosei_74",8.29486,15.21297,5.63173,7.35095,7.31263,11.29804
"Perityle_rosei_jalisco_223",6.39078,17.38658,7.0443,6.3069,8.639,10.30752
"Perityle_rupestris_10_rupestris_davis",8.2095,3.89167,4.26812,12.33142,16.5915,4.79003
"Perityle_rupestris_30_albiflora_chisos",4.53937,4.11562,4.92055,10.854,27.86647,5.58233
"Perityle_saxicola_224",3.378,3.88567,4.38119,9.30992,41.26274,4.86287
"Perityle_socorrensis_san_benedicto_213",11.69558,8.82403,7.12082,7.90708,8.12178,9.82269
"Perityle_specuicola_41_negro_bill_canyon",4.24475,4.41397,4.6077,9.2621,31.02767,4.91462
"Perityle_stansburyi_42_rock_spring",4.78037,4.34314,5.10845,11.17168,30.33686,5.68656
"Perityle_staurophylla_42",4.20837,4.20973,4.84519,13.03183,33.20649,6.3142
"Perityle_tenella_86_Beaver_dam",7.3262,3.80096,3.50374,12.49928,20.73482,4.89183
"Perityle_trichodonta_bolanos_208",6.92017,16.12913,6.56581,7.19392,8.04562,10.64166
"Perityle_turneri_33_Mexiquilla",2.12528,2.14252,59.36738,2.30061,2.87287,1.83733
"Perityle_vandevenderi_117_sierra_cucurpe",4.78467,4.41054,5.22267,10.5177,27.05221,4.74101
"Perityle_vaseyi_ernst_209",4.63216,4.65772,4.79738,13.62512,31.1681,6.09251
"Perityle_vigilans_109",7.53039,4.61844,11.07989,9.00685,6.66441,4.84036
"Perityle_villosa_45_Hanuapah_cyn",4.1998,4.52833,5.22573,11.12811,33.04474,5.05519
"Perityle_yellow_87",16.48859,7.75971,6.55449,10.71293,11.07661,7.61883
