"","sample","bp","bpoftarget","paralogs_all","paralogs_each","nloci","allele_divergence","locus_heterozygosity","loci with >0.5% SNPs","loci with >1% SNPs","loci with >2% SNPs","pert","perc","gali","lap1","lap2","eute"
"1","Amauria_brandeegeana_62",220190,199.1,4,2,157,2.798,96.86,89.94,80.5,59.75,9.75114,8.82341,6.4382,9.63171,9.74408,11.11885
"2","Amauria_carterae_99_mesa",110959,100.3,4,4,156,2.381,95,78.12,70.62,50,10.66519,7.70328,5.61189,10.62371,7.92727,9.19323
"3","Amauria_rotundifolia_SRR9119150",244411,221,4,2,154,1.2,66.67,46.15,37.82,26.92,8.49596,9.52986,6.23817,8.3275,8.81589,9.28871
"4","Conoclinium_coelestinum_SRR9119114",160488,145.1,4,7,146,0.869,67.32,29.41,22.88,13.07,6.12728,5.52756,4.55356,5.523,4.791,6.19642
"5","Eutetras_palmeri_63",223017,201.6,4,5,155,1.92,90,78.12,66.88,40.62,3.51738,4.83483,2.95806,3.38324,3.28425,57.92258
"6","Eutetras_pringlei_149_quer",58068,52.5,4,4,122,0.89,49.21,37.3,23.02,15.08,7.34747,4.00408,2.92657,6.85816,3.71957,24.55403
"7","Eutrochium_fistulosum_SRR9119106",190906,172.6,4,2,158,2.059,85.62,68.75,56.25,39.38,7.16465,7.7843,4.67638,7.32435,6.46817,8.7029
"8","Galeana_pratensis_104_mex",84703,76.6,4,4,147,0.919,66.23,35.76,25.83,18.54,9.05315,6.05312,3.92253,7.80929,5.28754,6.79563
"9","Helianthus_annuus_SRR9119062",180009,162.8,4,0,156,0.822,43.59,35.9,30.77,21.15,6.39541,4.37751,4.06529,4.97349,3.56709,5.16878
"10","Lycapsus_tenuifolius_17",209740,189.6,4,1,155,4.731,98.72,94.87,94.23,88.46,9.93075,9.61636,7.67194,7.41451,9.8112,10.88294
"11","Pericome_caudata_50_silver",276016,249.6,4,1,158,0.634,53.46,32.08,25.16,14.47,2.59181,66.36123,1.9833,2.40672,2.40517,3.20651
"12","Perityle_aglossa_84_dead_horse",268539,242.8,4,0,159,1.902,84.91,69.81,57.23,44.03,4.62671,4.76667,5.03776,12.18565,29.68961,5.04636
"13","Perityle_ajoensis_204",240020,217,4,3,157,1.164,83.12,53.12,40.62,30,4.54055,4.22407,4.69799,11.40111,32.83855,5.63818
"14","Perityle_ambrosiifolia_67_green",223483,202.1,4,5,155,1.495,86.25,58.12,48.12,33.13,3.03146,2.73803,2.94243,5.39209,52.58258,3.44211
"15","Perityle_angustifolia_13_Eagle_creek",158458,143.3,4,7,151,3.45,98.1,96.2,87.97,76.58,6.25848,3.67343,4.29318,12.63337,24.23827,5.31488
"16","Perityle_batopilensis_97",242475,219.2,4,4,156,1.882,96.25,83.75,69.38,41.25,5.08442,5.73022,7.39112,16.11197,20.3673,6.83457
"17","Perityle_bisetosa_9",248997,225.1,4,2,158,3.425,100,98.12,93.12,72.5,5.02377,4.2165,5.48221,13.33898,30.01897,6.19151
"18","Perityle_californica_76_positas",165865,150,4,3,155,2.506,93.67,86.08,76.58,59.49,37.55524,2.87294,2.31551,3.10448,2.46704,2.62867
"19","Perityle_canescens_77",181709,164.3,4,10,149,1.739,95.6,72.96,52.2,32.7,7.68351,5.67627,17.89699,9.64664,8.87181,7.52238
"20","Perityle_castillonii_96",207481,187.6,4,2,158,1.541,86.25,64.38,55,38.75,5.17922,4.11682,4.78713,12.93392,30.0448,6.16726
"21","Perityle_cernua_84",203688,184.2,4,5,154,3.09,98.11,89.94,83.02,69.18,5.78959,4.19946,5.0733,12.61981,28.14688,6.37114
"22","Perityle_cfvillosa_25_tin",229487,207.5,4,2,158,1.65,91.25,71.25,56.88,39.38,4.90942,4.87532,5.15202,11.04168,31.34307,4.79911
"23","Perityle_cinerea_113_Powell1310",68944,62.3,4,6,137,3.411,99.3,97.2,87.41,64.34,6.15357,3.10495,3.6053,10.10664,12.98665,3.98632
"24","Perityle_coahuilensis_24",327709,296.3,4,1,158,1.445,90.57,59.12,47.8,31.45,3.10832,4.11049,4.94198,9.16708,42.18939,4.77276
"25","Perityle_cochisensis_44_cave_creek",205805,186.1,4,3,154,1.92,87.9,66.24,57.96,43.31,7.10464,4.6278,4.0215,12.38901,25.02024,4.78653
"26","Perityle_congesta_202",267164,241.6,4,3,157,1.42,83.75,64.38,53.75,28.75,3.68146,4.44517,4.77739,12.33816,36.14625,5.6534
"27","Perityle_cordifolia_27",289639,261.9,4,3,155,1.03,61.39,43.67,32.28,21.52,3.67502,5.25566,5.73155,23.85517,19.69832,5.685
"28","Perityle_cordifolia_68_tecolote",297178,268.7,4,3,156,0.933,80.5,55.35,38.99,18.87,4.43351,7.2359,7.88245,13.40991,18.67831,5.84488
"29","Perityle_coronopifolia_28_patagonia",259851,234.9,4,7,150,1.124,78.34,57.32,43.95,21.02,5.84693,6.22266,16.22186,6.6516,9.05357,5.84079
"30","Perityle_crassifolia_70_ventanas",154341,139.5,4,3,156,1.758,86.79,65.41,54.09,37.11,11.72377,7.10793,5.82244,8.0224,7.15043,7.3639
"31","Perityle_crassifolia_74_playa_balandra",96953,87.7,4,3,155,1.889,77.22,60.76,48.1,34.81,11.94352,6.9857,5.10844,8.81211,6.06518,6.81169
"32","Perityle_cuneata_34_cuneata_San_antonio",228243,206.4,4,1,154,2.858,98.71,91.61,80,65.81,25.65869,6.36161,4.91489,5.67258,5.69742,5.72258
"33","Perityle_cuneata_4",231811,209.6,4,2,152,3.213,99.35,94.16,81.17,65.58,15.31801,8.74112,8.02007,7.2777,8.0266,9.54267
"34","Perityle_discoidea_81",181561,164.2,4,1,155,4.76,98.72,96.15,94.23,87.18,10.76023,8.8451,6.58852,8.10891,9.20618,10.90108
"35","Perityle_dissecta_201",265152,239.7,4,3,155,1.666,84.81,70.25,58.23,41.14,4.60598,4.39119,4.66219,11.80604,33.16039,5.69247
"36","Perityle_emoryi_47_punta_san_jose",184330,166.7,4,3,144,6.684,98.64,98.64,97.96,95.92,8.0379,7.49794,6.99902,11.06404,11.29493,7.92728
"37","Perityle_feddemae_99",266348,240.8,4,7,153,1.018,80.62,56.25,40,16.87,7.34176,6.42665,17.01814,8.88212,9.16717,7.59434
"38","Perityle_fosteri_93",212709,192.3,4,4,155,2.219,97.48,79.87,72.33,47.8,4.45995,4.84482,5.55663,12.75292,32.71664,6.54659
"39","Perityle_gamon_221",254081,229.7,4,4,156,1.181,83.12,56.25,44.38,27.5,7.70769,6.47882,18.40817,8.93944,8.34798,7.35313
"40","Perityle_gentryi_8_san_francisco",225757,204.1,4,7,153,1.474,85.62,68.12,53.12,28.12,4.97952,5.6442,7.04306,15.24273,17.31748,6.06859
"41","Perityle_gilensis_22_Superstition",269196,243.4,4,2,156,2.484,98.73,89.87,76.58,55.7,5.22676,3.8866,3.5649,11.43321,34.79173,4.71398
"42","Perityle_gilensis_salensis_225",258564,233.8,4,3,157,1.031,66.25,45.63,35.62,25.62,4.04476,4.10857,4.25476,10.19446,39.84503,5.13396
"43","Perityle_glaucescens_94",265944,240.5,4,11,148,1.433,96.86,77.99,58.49,25.16,7.27219,7.04481,18.36859,8.87329,9.95727,7.83207
"44","Perityle_gracilis_11",214008,193.5,4,5,155,2.741,98.75,95,83.12,62.5,4.76572,4.13587,5.0539,12.54466,33.30906,6.29419
"45","Perityle_harkerae_31",225382,203.8,4,6,154,1.524,90,76.88,59.38,33.13,6.51661,6.37733,15.09549,7.80347,8.95008,7.30261
"46","Perityle_hofmeisteria_4_nombre_de_dios",317036,286.6,4,7,150,0.819,77.07,43.31,32.48,17.2,5.63563,7.4843,20.93363,6.91296,9.28847,6.44741
"47","Perityle_huecosensis_48",266161,240.6,4,8,151,1.14,77.36,52.83,43.4,23.27,5.06306,4.29077,5.41558,12.41117,31.91497,5.64096
"48","Perityle_incana_3_ucla",141664,128.1,4,0,151,6.427,98.68,97.35,96.69,93.38,12.81401,6.03931,9.90577,11.156,11.20628,7.47651
"49","Perityle_intricata_59_Clark_mtns",278276,251.6,4,5,154,2.098,99.37,83.65,66.67,47.8,4.50094,5.25955,4.57569,10.8976,34.92502,4.76431
"50","Perityle_inyoensis_9_pleasant",274175,247.9,4,3,156,1.411,84.28,65.41,47.8,35.22,4.16291,4.78658,4.94924,11.07201,33.18825,5.291
