"","sample","bp","bpoftarget","paralogs_all","paralogs_each","nloci","allele_divergence","locus_heterozygosity","loci with >0.5% SNPs","loci with >1% SNPs","loci with >2% SNPs","pert","perc","gali","lap1","lap2","eute"
"1","Amauria_brandeegeana_62",220190,199.1,4,2,157,2.798,96.86,89.94,80.5,59.75,0.259647921302061,0.13296031432811,0.108446759819955,0.204926337486734,0.185310039940984,0.19196054457519
"2","Amauria_carterae_99_mesa",110959,100.3,4,4,156,2.381,95,78.12,70.62,50,0.28398673527316,0.116081031047797,0.0945281735525469,0.226032343251738,0.150758483132627,0.158715823777187
"3","Amauria_rotundifolia_SRR9119150",244411,221,4,2,154,1.2,66.67,46.15,37.82,26.92,0.226225687813472,0.143605837323992,0.105077401091306,0.177177684483937,0.167657996241341,0.16036423101319
"4","Conoclinium_coelestinum_SRR9119114",160488,145.1,4,7,146,0.869,67.32,29.41,22.88,13.07,0.16315379691356,0.0832950203002566,0.076701380455058,0.117508538145276,0.0911138251489372,0.10697762427019
"5","Eutetras_palmeri_63",223017,201.6,4,5,155,1.92,90,78.12,66.88,40.62,0.0936588342931639,0.0728562445271132,0.0498263524514641,0.0719825432907157,0.0624588979848459,1
"6","Eutetras_pringlei_149_quer",58068,52.5,4,4,122,0.89,49.21,37.3,23.02,15.08,0.19564433618318,0.0603376399141487,0.0492959264835336,0.145915690017455,0.0707376853703261,0.423911193182348
"7","Eutrochium_fistulosum_SRR9119106",190906,172.6,4,2,158,2.059,85.62,68.75,56.25,39.38,0.190776307114533,0.117301924632801,0.0787701933283901,0.155834448916232,0.123009749616698,0.15025055859045
"8","Galeana_pratensis_104_mex",84703,76.6,4,4,147,0.919,66.23,35.76,25.83,18.54,0.241062232593907,0.0912147047304578,0.0660721426480333,0.166152136855426,0.100556876440829,0.117322639979089
"9","Helianthus_annuus_SRR9119062",180009,162.8,4,0,156,0.822,43.59,35.9,30.77,21.15,0.170293413116252,0.0659648713563627,0.0684768302054091,0.105817044971962,0.0678378656962059,0.089236011241212
"10","Lycapsus_tenuifolius_17",209740,189.6,4,1,155,4.731,98.72,94.87,94.23,88.46,0.264430476279742,0.144909309245775,0.129228205792474,0.157752712504713,0.186586508307504,0.18788769422909
"11","Pericome_caudata_50_silver",276016,249.6,4,1,158,0.634,53.46,32.08,25.16,14.47,0.0690132721825237,1,0.033407234747432,0.0512058933414807,0.0457408137828155,0.05535854929114
"12","Perityle_aglossa_84_dead_horse",268539,242.8,4,0,159,1.902,84.91,69.81,57.23,44.03,0.123197455268559,0.0718291387908271,0.0848573745380039,0.259264515272493,0.564628247605956,0.087122500413483
"13","Perityle_ajoensis_204",240020,217,4,3,157,1.164,83.12,53.12,40.62,30,0.120903234808245,0.0636526779265544,0.0791341979383291,0.24257247317282,0.624513859913302,0.0973399320265085
"14","Perityle_ambrosiifolia_67_green",223483,202.1,4,5,155,1.495,86.25,58.12,48.12,33.13,0.0807200273517091,0.041259482381505,0.0495630765582042,0.114723268775622,1,0.0594260476656944
"15","Perityle_angustifolia_13_Eagle_creek",158458,143.3,4,7,151,3.45,98.1,96.2,87.97,76.58,0.166647317391661,0.0553550619842339,0.0723154702127667,0.26879030247119,0.46095627106924,0.0917583436373172
"16","Perityle_batopilensis_97",242475,219.2,4,4,156,1.882,96.25,83.75,69.38,41.25,0.135385102052337,0.086348911857119,0.124497998732637,0.342801745670928,0.387339305146305,0.117994916662897
"17","Perityle_bisetosa_9",248997,225.1,4,2,158,3.425,100,98.12,93.12,72.5,0.133770147654495,0.0635386052970989,0.0923438090075729,0.283803012882323,0.570891918958712,0.106892855946679
"18","Perityle_californica_76_positas",165865,150,4,3,155,2.506,93.67,86.08,76.58,59.49,1,0.0432924465083001,0.0390030686885626,0.0660515854610258,0.0469174391975441,0.0453824743303907
"19","Perityle_canescens_77",181709,164.3,4,10,149,1.739,95.6,72.96,52.2,32.7,0.204592222017487,0.0855359371729547,0.301461678113469,0.205243991383984,0.168721466310706,0.12986956036834
"20","Perityle_castillonii_96",207481,187.6,4,2,158,1.541,86.25,64.38,55,38.75,0.137909383617306,0.0620365234339387,0.0806356958989937,0.275184869036383,0.571383146281525,0.106474193656429
"21","Perityle_cernua_84",203688,184.2,4,5,154,3.09,98.11,89.94,83.02,69.18,0.15416197579885,0.0632818288630274,0.0854560197872973,0.26850179698916,0.535289063412256,0.109994064490912
"22","Perityle_cfvillosa_25_tin",229487,207.5,4,2,158,1.65,91.25,71.25,56.88,39.38,0.130725299585357,0.0734663899388242,0.0867820004857887,0.234925163039639,0.596073262285723,0.082853871495365
"23","Perityle_cinerea_113_Powell1310",68944,62.3,4,6,137,3.411,99.3,97.2,87.41,64.34,0.163853832381314,0.0467886143761953,0.0607286358266105,0.215031050508885,0.246976279977133,0.0688215200358824
"24","Perityle_coahuilensis_24",327709,296.3,4,1,158,1.445,90.57,59.12,47.8,31.45,0.0827666125952064,0.0619411364135354,0.0832440306444381,0.19504076948412,0.802345377499545,0.0823989539140004
"25","Perityle_cochisensis_44_cave_creek",205805,186.1,4,3,154,1.92,87.9,66.24,57.96,43.31,0.189178394279999,0.0697365012673816,0.0677392197533393,0.263591246454319,0.475827545928709,0.0826366850371651
"26","Perityle_congesta_202",267164,241.6,4,3,157,1.42,83.75,64.38,53.75,28.75,0.0980278650862037,0.0669844425728697,0.0804716327383826,0.262509350896707,0.687418723082816,0.0976026965649665
"27","Perityle_cordifolia_27",289639,261.9,4,3,155,1.03,61.39,43.67,32.28,21.52,0.0978563843554189,0.0791977484443854,0.0965437585421489,0.507547737444693,0.374616840786435,0.0981482523741173
"28","Perityle_cordifolia_68_tecolote",297178,268.7,4,3,156,0.933,80.5,55.35,38.99,18.87,0.118053033345014,0.109038063339091,0.132774092439316,0.285312134846952,0.355218591404226,0.100908488537631
"29","Perityle_coronopifolia_28_patagonia",259851,234.9,4,7,150,1.124,78.34,57.32,43.95,21.02,0.155688793361459,0.093769509697153,0.273245341128411,0.141520874946065,0.172178124390245,0.100837877042079
"30","Perityle_crassifolia_70_ventanas",154341,139.5,4,3,156,1.758,86.79,65.41,54.09,37.11,0.312174013533131,0.10710967834683,0.0980747339700691,0.170686311138269,0.135984769100337,0.127133494398903
"31","Perityle_crassifolia_74_playa_balandra",96953,87.7,4,3,155,1.889,77.22,60.76,48.1,34.81,0.318025394059524,0.105267789641633,0.0860479273297895,0.18748835127202,0.115345804637201,0.117599906633993
"32","Perityle_cuneata_34_cuneata_San_antonio",228243,206.4,4,1,154,2.858,98.71,91.61,80,65.81,0.683225296922613,0.0958633527437632,0.0827877194513216,0.120691034458108,0.108351853408486,0.0987970494408226
"33","Perityle_cuneata_4",231811,209.6,4,2,152,3.213,99.35,94.16,81.17,65.58,0.407879433069793,0.131720283062867,0.135092200464295,0.154841913463674,0.152647511780517,0.164748704218631
"34","Perityle_discoidea_81",181561,164.2,4,1,155,4.76,98.72,96.15,94.23,87.18,0.28651740742437,0.133287161796127,0.110978790035875,0.172526916540215,0.175080416366028,0.188200870886621
"35","Perityle_dissecta_201",265152,239.7,4,3,155,1.666,84.81,70.25,58.23,41.14,0.122645468382042,0.0661710158175187,0.0785311731796148,0.251187851110746,0.630634518123683,0.0982772176239387
"36","Perityle_emoryi_47_punta_san_jose",184330,166.7,4,3,144,6.684,98.64,98.64,97.96,95.92,0.21402872142476,0.112986754464919,0.117893361640686,0.235400899217971,0.214803647900122,0.136859925783693
"37","Perityle_feddemae_99",266348,240.8,4,7,153,1.018,80.62,56.25,40,16.87,0.195492293485543,0.0968434430766277,0.286658094057713,0.188977899118399,0.174338535689957,0.131111908343862
"38","Perityle_fosteri_93",212709,192.3,4,4,155,2.219,97.48,79.87,72.33,47.8,0.118757062929168,0.0730067842322995,0.0935973593579505,0.27133387403289,0.622195411484184,0.113023107741402
"39","Perityle_gamon_221",254081,229.7,4,4,156,1.181,83.12,56.25,44.38,27.5,0.20523607358121,0.0976295948703784,0.310072130520161,0.190197451790223,0.158759421846551,0.126947556548759
"40","Perityle_gentryi_8_san_francisco",225757,204.1,4,7,153,1.474,85.62,68.12,53.12,28.12,0.132591883316416,0.0850526730743237,0.118635183159506,0.324307608119344,0.329338727768778,0.10477071290678
"41","Perityle_gilensis_22_Superstition",269196,243.4,4,2,156,2.484,98.73,89.87,76.58,55.7,0.139175252241764,0.0585673291468528,0.0600481274396815,0.243255439690014,0.661658861166569,0.0813841510512826
"42","Perityle_gilensis_salensis_225",258564,233.8,4,3,157,1.031,66.25,45.63,35.62,25.62,0.107701615007653,0.0619122038575837,0.071668313474504,0.216899527753121,0.757761030364048,0.0886348639856857
"43","Perityle_glaucescens_94",265944,240.5,4,11,148,1.433,96.86,77.99,58.49,25.16,0.193639822299099,0.106158520569917,0.309405434432175,0.188790030135632,0.189364424491913,0.135216179942261
"44","Perityle_gracilis_11",214008,193.5,4,5,155,2.741,98.75,95,83.12,62.5,0.126898936073901,0.0623235886375222,0.0851292410074354,0.266902889395168,0.63346188034136,0.108665567037932
"45","Perityle_harkerae_31",225382,203.8,4,6,154,1.524,90,76.88,59.38,33.13,0.173520659167669,0.0961002380456179,0.254272464104025,0.166028309281281,0.170209982089125,0.126075357831091
"46","Perityle_hofmeisteria_4_nombre_de_dios",317036,286.6,4,7,150,0.819,77.07,43.31,32.48,17.2,0.150062414725615,0.112781212765345,0.352611653066044,0.147081626626248,0.176645383318962,0.11131082213534
"47","Perityle_huecosensis_48",266161,240.6,4,8,151,1.14,77.36,52.83,43.4,23.27,0.134816339876939,0.0646577828650855,0.0912214754971501,0.264062727389553,0.606949487834184,0.0973879271261743
"48","Perityle_incana_3_ucla",141664,128.1,4,0,151,6.427,98.68,97.35,96.69,93.38,0.341204316627986,0.0910066012941593,0.166855434752216,0.237357459994332,0.213117728342733,0.129077641223854
"49","Perityle_intricata_59_Clark_mtns",278276,251.6,4,5,154,2.098,99.37,83.65,66.67,47.8,0.119848521804148,0.0792563670082667,0.0770741440838386,0.231859685911996,0.664193731079761,0.0822530695283256
"50","Perityle_inyoensis_9_pleasant",274175,247.9,4,3,156,1.411,84.28,65.41,47.8,35.22,0.11084764735893,0.0721291633684306,0.0833663200228812,0.235570470655418,0.631164351387855,0.091346069184073
"51","Perityle_jaliscana_203",236734,214,4,9,151,1.671,98.12,86.25,66.88,35,0.187066571801964,0.0955339435390212,0.272193753539402,0.196610103138582,0.167625475965614,0.133139442338376
"52","Perityle_lemmonii_12",230326,208.2,4,6,153,2.132,94.97,74.21,65.41,44.65,0.126714940445062,0.0566870143907821,0.0756796072186443,0.278746720271382,0.665284396467423,0.103040990232134
"53","Perityle_lemmonii_85_hachita",260007,235.1,4,2,157,1.641,84.91,61.64,53.46,37.74,0.0982110618917627,0.0612261104864994,0.074743908186617,0.204805063058448,0.543952959326073,0.086047962642548
"54","Perityle_lemmonii_colossal_cave_206",246054,222.5,4,3,156,2.495,96.23,79.87,71.7,56.6,0.114277261974627,0.057188361336883,0.0761930204769016,0.246693037826558,0.676821487268217,0.0945493104761563
"55","Perityle_leptoglossa_20_rancho_las_laminas",248242,224.4,4,4,154,2.082,93.67,77.85,63.29,44.3,0.129888665336715,0.073457800586276,0.0938154926156418,0.464790842036015,0.316460318227063,0.0972615515400039
"56","Perityle_lindheimeri_34",211920,191.6,4,2,158,2.236,95.62,78.12,69.38,51.88,0.146622947956131,0.0644112533779136,0.084029984142807,0.293390926630247,0.601950493870784,0.109172277892318
"57","Perityle_lineariloba_78",202188,182.8,4,2,156,2.301,92.41,77.85,66.46,51.27,0.196485497097076,0.0922626057413342,0.298127692345527,0.174719005022038,0.171286764552063,0.137156010661127
"58","Perityle_lloydii_79",127937,115.7,4,2,156,1.398,72.15,46.2,36.08,28.48,0.209100780610109,0.0682668178392715,0.120476093100285,0.374081612158421,0.304221854462067,0.118939625962794
"59","Perityle_lobata_119_mesa_tinajas",131069,118.5,4,2,158,2.486,95.62,83.75,70.62,52.5,0.134339442378747,0.0456427646081907,0.0458814251193164,1,0.128416863531611,0.0632508082340255
"60","Perityle_megalocephala_19_meg_Echo",253222,228.9,4,3,156,1.721,89.94,75.47,61.01,34.59,0.131097551233862,0.0675138179325489,0.079909539548486,0.225712774495094,0.58104071728698,0.0879009533069832
"61","Perityle_megalocephala_29_tin_mountain",288092,260.5,4,2,158,2.118,98.75,86.88,75,50,0.11173673766963,0.0638634937899734,0.0775776192245641,0.231143315736485,0.631698178370099,0.0763469099615383
"62","Perityle_microglossa_73_tecolote",179475,162.3,4,4,155,3.453,96.86,94.34,86.16,70.44,0.192501232850596,0.0896668129870408,0.272768479929551,0.166704892933828,0.165434636337738,0.103473981994587
"63","Perityle_microglossa_83_isla_venados",77564,70.1,4,4,145,3.854,89.93,84.56,81.88,71.81,0.256142418474759,0.0722045085662216,0.187225375281847,0.199413244529247,0.120970861452595,0.0896519112235677
"64","Perityle_montana_80",189030,170.9,4,4,154,4.097,100,96.84,93.04,80.38,0.240240243438732,0.0909552158692658,0.224072040908661,0.209178389152194,0.171072054661449,0.125760627375369
"65","Perityle_palmeri_21_rancho_nuevo",93421,84.5,4,4,152,3.136,96.79,88.46,77.56,57.69,0.182190820774944,0.0724659564025561,0.0633602156605193,0.410198838999473,0.188322254252264,0.0746764042623792
"66","Perityle_parryi_80_lower_window",312456,282.5,4,2,155,2.26,93.63,85.99,75.16,52.23,0.101120376277718,0.0824351809030664,0.100441858812028,0.243649262438714,0.615697632181608,0.0859145086423982
"67","Perityle_pseudociliata_140",249077,225.2,4,13,146,1.036,91.19,61.01,37.74,16.98,0.176188995197474,0.0950711733341893,0.283756669066413,0.163793881130635,0.178096814572431,0.11883845643616
"68","Perityle_reinana_7_mazatan",237307,214.6,4,0,160,1.973,95,80.62,65.62,45,0.146998128623329,0.0589023138962313,0.075936482290443,0.417239138704755,0.253777962207256,0.0888446267414193
"69","Perityle_rosei_74",218770,197.8,4,4,156,1.383,88.75,68.12,50,28.12,0.220870909092846,0.229244846727524,0.0948623638098902,0.156400396248237,0.139069440868059,0.195054156772713
"70","Perityle_rosei_jalisco_223",225684,204.1,4,1,140,5.103,98.58,98.58,95.74,91.49,0.170170128056697,0.261999061801597,0.11865607005059,0.134186963467036,0.164293954385654,0.177953399175244
"71","Perityle_rupestris_10_rupestris_davis",71834,64.9,4,1,141,1.389,64.79,51.41,42.25,26.76,0.218597990586666,0.0586437291774128,0.0718933528816667,0.262365949204312,0.315532254218032,0.0826971105223559
"72","Perityle_rupestris_30_albiflora_chisos",231188,209,4,3,157,1.597,86.25,61.25,50,38.75,0.120871814425896,0.0620184405864689,0.0828830580025597,0.23093204291668,0.529956308724296,0.0963757139271075
"73","Perityle_saxicola_224",309550,279.9,4,5,155,1.694,93.75,69.38,56.25,33.13,0.0899475013340349,0.0585533149400636,0.0737979341517177,0.198079864104556,0.78472262106576,0.0839546511912971
"74","Perityle_socorrensis_san_benedicto_213",206021,186.3,4,1,159,0.653,42.5,33.75,28.12,15.62,0.311423385924308,0.132969657132636,0.119944993361674,0.168232737968087,0.15445761695223,0.169583088322378
"75","Perityle_specuicola_41_negro_bill_canyon",273496,247.3,4,7,153,1.77,96.88,79.38,60,37.5,0.113026837266917,0.0665142885386543,0.0776133290706108,0.197062435479877,0.590075078096206,0.0848480851509032
"76","Perityle_stansburyi_42_rock_spring",227018,205.3,4,5,155,1.504,85,65.62,51.88,30,0.127289028108994,0.0654469484667478,0.0860480957724596,0.237691071053198,0.576937457233936,0.098175184876088
"77","Perityle_staurophylla_42",237637,214.9,4,3,157,1.816,90,66.88,56.88,44.38,0.112058130902638,0.06343658789929,0.0816136740411991,0.277268023294903,0.631511234328936,0.10901102816898
"78","Perityle_tenella_86_Beaver_dam",99933,90.4,4,2,157,2.794,96.86,90.57,74.21,52.83,0.195077970477622,0.0572768165990896,0.0590179320697663,0.265937374736281,0.394328692125795,0.0844546289201897
"79","Perityle_trichodonta_bolanos_208",222776,201.4,4,7,152,0.964,75.47,44.65,35.22,18.24,0.18426642993095,0.243050498009154,0.110596256732232,0.153059392130013,0.153009228531578,0.183722133924283
"80","Perityle_turneri_33_Mexiquilla",292701,264.6,4,6,153,1.088,75.47,50.31,33.96,25.16,0.0565907713544102,0.0322857186342086,1,0.048948274115952,0.0546353944595339,0.0317204447730056
"81","Perityle_vandevenderi_117_sierra_cucurpe",237655,214.9,4,2,155,1.317,92.99,61.78,44.59,28.03,0.127403526112468,0.0664626017329697,0.0879720479495642,0.223776851647758,0.514470952167048,0.0818508084411986
"82","Perityle_vaseyi_ernst_209",239386,216.4,4,1,158,2.156,95.6,81.76,71.7,53.46,0.123342574831102,0.0701873669309625,0.0808083496357764,0.289890989182321,0.592745734423834,0.105183677936998
"83","Perityle_vigilans_109",115033,104,4,7,153,1.455,83.12,56.25,43.12,28.75,0.200515027996093,0.0695954550571169,0.186632625526004,0.191631681476331,0.12674178406613,0.0835660289993989
"84","Perityle_villosa_45_Hanuapah_cyn",272307,246.2,4,1,159,1.733,89.38,71.25,58.12,38.75,0.11182993371897,0.0682375839025286,0.088023591406594,0.236764066344346,0.62843512052851,0.087274945280407
"85","Perityle_yellow_87",230091,208,4,2,142,7.084,97.92,97.92,97.92,97.22,0.439048984908631,0.116931376950066,0.110405579629756,0.227930607197659,0.210651702522014,0.131534714095954
