"","GalP","EutP","Peri","PerC","PerS","AmauC","GalL","GalC","LapG","LapL","LapC","LapA","LapV","LapI"
"Amauria_brandeegeana_62",2.55407,5.84905,3.64462,3.90557,4.79703,15.34207,1.96696,2.37794,2.50929,3.3527,2.84788,2.18466,2.10841,1.99952
"Amauria_carterae_99_mesa",3.24342,2.57034,1.613,2.47494,2.03609,47.70135,1.03505,1.3655,1.40311,1.93432,1.67853,0.95209,0.90646,0.77871
"Amauria_rotundifolia_SRR9119150",2.91029,4.9094,4.23957,3.52016,4.36309,12.65309,1.96266,2.47672,2.29069,2.865,2.09836,1.88233,2.29473,1.74912
"Conoclinium_coelestinum_SRR9119114",5.70882,3.65015,2.65526,2.40438,2.56379,2.86941,1.57995,1.81619,1.38957,2.14342,1.34036,1.08563,1.16414,0.94351
"Eutetras_palmeri_63",1.98427,55.41201,2.72203,1.60185,1.68343,2.32007,1.08065,1.27018,1.45037,1.44024,2.04715,1.2213,1.20879,1.04879
"Eutetras_pringlei_149_quer",7.4608,22.22092,2.64062,3.53674,2.2668,3.58737,1.29324,2.26371,1.95156,2.67331,1.94043,1.17671,1.2689,1.17486
"Eutrochium_fistulosum_SRR9119106",6.43323,5.15486,3.78295,2.81793,2.87462,3.6292,1.3407,2.28417,1.53815,2.59168,1.82049,1.29488,1.46384,1.24796
"Galeana_pratensis_104_mex",55.381,1.56434,0.97414,1.71117,1.18212,1.65232,0.5452,0.93289,0.65654,1.39847,0.80481,0.47395,0.4927,0.50193
"Helianthus_annuus_SRR9119062",5.3214,2.65656,2.03213,2.51093,3.05026,2.38392,1.54505,1.76673,1.39243,1.52513,1.06754,1.00287,0.95786,0.83267
"Lycapsus_tenuifolius_17",2.26783,4.86951,3.43431,3.15799,23.19572,8.15072,1.93286,2.42658,2.38513,2.21313,2.29349,1.88577,2.15025,1.8446
"Pericome_caudata_50_silver",1.55182,2.46545,64.11798,1.29011,1.04485,1.33509,0.74902,0.71759,0.82781,1.11402,1.03554,0.72007,0.88479,0.89275
"Perityle_aglossa_84_dead_horse",1.23607,1.16173,1.03291,0.91534,0.89173,0.99247,1.01898,0.80952,2.26123,1.99874,3.26653,44.6409,2.95548,2.91916
"Perityle_ajoensis_204",1.48949,1.85014,1.29947,1.52471,1.39633,1.46858,1.03452,1.18127,2.83852,3.43185,7.18656,6.17876,8.76471,15.41345
"Perityle_ambrosiifolia_67_green",1.65287,2.09769,1.66099,1.70941,1.64919,1.45153,1.38595,1.36388,3.15052,3.97672,8.0748,6.6032,7.26315,8.75099
"Perityle_angustifolia_13_Eagle_creek",2.55521,2.18056,1.21389,2.1649,1.68294,2.10754,1.30935,1.70495,2.96054,4.59522,7.79622,7.3367,6.34759,6.87802
"Perityle_batopilensis_97",1.58445,2.18838,1.47082,1.4236,1.58379,1.79786,1.51831,1.48268,38.05197,3.60686,3.64768,3.33605,2.85634,2.70985
"Perityle_bisetosa_9",1.92547,2.47282,1.19606,1.55996,1.62578,1.93542,1.28615,1.513,3.84089,4.33557,11.8062,8.39359,7.58263,6.86888
"Perityle_californica_76_positas",2.60252,1.57192,1.39132,33.26234,2.26278,1.77738,0.87936,1.00484,0.89393,1.38122,0.90588,0.71317,0.68183,0.69906
"Perityle_canescens_77",1.9629,2.14548,1.19575,1.90415,1.71737,1.71579,2.19489,52.793,1.28245,1.71016,1.63415,1.10374,1.15014,0.95306
"Perityle_carmenensis_122_Spellenberg9960",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Perityle_castillonii_96",1.51867,2.5663,1.19315,1.80633,1.6011,1.55413,1.06074,1.46097,3.51332,3.99739,10.26632,8.20295,8.12927,7.37554
