"","sample","bp","bpoftarget","paralogs_all","paralogs_each","nloci","allele_divergence","locus_heterozygosity","loci with >0.5% SNPs","loci with >1% SNPs","loci with >2% SNPs","GalP","EutP","Peri","PerC","PerS","AmauC","GalL","GalC","LapG","LapL","LapC","LapA","LapV","LapI"
"1","Amauria_brandeegeana_62",220190,199.1,4,2,157,2.798,96.86,89.94,80.5,59.75,2.55407,5.84905,3.64462,3.90557,4.79703,15.34207,1.96696,2.37794,2.50929,3.3527,2.84788,2.18466,2.10841,1.99952
"2","Amauria_carterae_99_mesa",110959,100.3,4,4,156,2.381,95,78.12,70.62,50,3.24342,2.57034,1.613,2.47494,2.03609,47.70135,1.03505,1.3655,1.40311,1.93432,1.67853,0.95209,0.90646,0.77871
"3","Amauria_rotundifolia_SRR9119150",244411,221,4,2,154,1.2,66.67,46.15,37.82,26.92,2.91029,4.9094,4.23957,3.52016,4.36309,12.65309,1.96266,2.47672,2.29069,2.865,2.09836,1.88233,2.29473,1.74912
"4","Conoclinium_coelestinum_SRR9119114",160488,145.1,4,7,146,0.869,67.32,29.41,22.88,13.07,5.70882,3.65015,2.65526,2.40438,2.56379,2.86941,1.57995,1.81619,1.38957,2.14342,1.34036,1.08563,1.16414,0.94351
"5","Eutetras_palmeri_63",223017,201.6,4,5,155,1.92,90,78.12,66.88,40.62,1.98427,55.41201,2.72203,1.60185,1.68343,2.32007,1.08065,1.27018,1.45037,1.44024,2.04715,1.2213,1.20879,1.04879
"6","Eutetras_pringlei_149_quer",58068,52.5,4,4,122,0.89,49.21,37.3,23.02,15.08,7.4608,22.22092,2.64062,3.53674,2.2668,3.58737,1.29324,2.26371,1.95156,2.67331,1.94043,1.17671,1.2689,1.17486
"7","Eutrochium_fistulosum_SRR9119106",190906,172.6,4,2,158,2.059,85.62,68.75,56.25,39.38,6.43323,5.15486,3.78295,2.81793,2.87462,3.6292,1.3407,2.28417,1.53815,2.59168,1.82049,1.29488,1.46384,1.24796
"8","Galeana_pratensis_104_mex",84703,76.6,4,4,147,0.919,66.23,35.76,25.83,18.54,55.381,1.56434,0.97414,1.71117,1.18212,1.65232,0.5452,0.93289,0.65654,1.39847,0.80481,0.47395,0.4927,0.50193
"9","Helianthus_annuus_SRR9119062",180009,162.8,4,0,156,0.822,43.59,35.9,30.77,21.15,5.3214,2.65656,2.03213,2.51093,3.05026,2.38392,1.54505,1.76673,1.39243,1.52513,1.06754,1.00287,0.95786,0.83267
"10","Lycapsus_tenuifolius_17",209740,189.6,4,1,155,4.731,98.72,94.87,94.23,88.46,2.26783,4.86951,3.43431,3.15799,23.19572,8.15072,1.93286,2.42658,2.38513,2.21313,2.29349,1.88577,2.15025,1.8446
