"","sample","bp","bpoftarget","paralogs_all","paralogs_each","nloci","allele_divergence","locus_heterozygosity","loci with >0.5% SNPs","loci with >1% SNPs","loci with >2% SNPs","GalP","EutP","Peri","PerC","PerS","AmauC","GalL","GalC","LapG","LapL","LapC","LapA","LapV","LapI"
"1","Amauria_brandeegeana_62",220190,199.1,4,2,157,2.798,96.86,89.94,80.5,59.75,0.0461181632689912,0.105555636765387,0.0568424020844075,0.117417175099527,0.0809228282427508,0.321627584963528,0.0403600012967992,0.0450427139961737,0.0485817096771945,0.0868977200331552,0.0880380112710714,0.0489385294651317,0.0532399072169478,0.0480273667983493
"2","Amauria_carterae_99_mesa",110959,100.3,4,4,156,2.381,95,78.12,70.62,50,0.0585655730304617,0.0463859730047692,0.0251567501034811,0.0744066713285956,0.0343475361539916,1,0.0212381641427645,0.0258651715189514,0.0271652470081849,0.050135114330102,0.0518892801167295,0.0213277510086042,0.0228892133389021,0.0187041844040283
"3","Amauria_rotundifolia_SRR9119150",244411,221,4,2,154,1.2,66.67,46.15,37.82,26.92,0.0525503331467471,0.0885981215985488,0.0661213905990176,0.105830197153898,0.0736025379615436,0.265256434042223,0.0402717697081668,0.0469137953895403,0.0443494520523545,0.0742571562904494,0.0648677055672168,0.0421660405592181,0.0579447129770522,0.0420128970024449
"4","Conoclinium_coelestinum_SRR9119114",160488,145.1,4,7,146,0.869,67.32,29.41,22.88,13.07,0.103082645672704,0.0658729037261056,0.0414120968876437,0.0722853533455554,0.0432494976726187,0.0601536434503426,0.032418953130149,0.0344020987630936,0.0269031025972045,0.0555547203965358,0.0414352531663179,0.0243191781527702,0.0293959455644479,0.0226625894454222
"5","Eutetras_palmeri_63",223017,201.6,4,5,155,1.92,90,78.12,66.88,40.62,0.0358294360881891,1,0.0424534584526836,0.0481580670512057,0.0283983874915716,0.048637407536684,0.0221738293617491,0.0240596291174966,0.0280802355504994,0.0373291891014858,0.0632846239215044,0.027358319388722,0.0305234121659328,0.0251913569378855
"6","Eutetras_pringlei_149_quer",58068,52.5,4,4,122,0.89,49.21,37.3,23.02,15.08,0.13471768295986,0.40101270464652,0.0411837677980498,0.106328658777464,0.0382394663074168,0.0752047898015465,0.026535958065783,0.0428789801678253,0.0377836445120435,0.0692887952819621,0.0599855324700216,0.0263594595987088,0.0320412624999811,0.0282194887556557
"7","Eutrochium_fistulosum_SRR9119106",190906,172.6,4,2,158,2.059,85.62,68.75,56.25,39.38,0.116163124537296,0.0930278472121838,0.0589998312485827,0.0847183331058488,0.0484930009866889,0.0760817041865691,0.0275097885765947,0.0432665315477431,0.0297797212518189,0.0671730494990687,0.0562777642101749,0.0290065836486272,0.0369637337047618,0.0299753104093322
"8","Galeana_pratensis_104_mex",84703,76.6,4,4,147,0.919,66.23,35.76,25.83,18.54,1,0.0282310639877528,0.0151929302825822,0.0514446668514602,0.0199416083956783,0.0346388519402491,0.0111869446796147,0.0176707139204061,0.0127110998216489,0.036246563824609,0.0248795145339941,0.0106169454468884,0.0124412719944367,0.0120560815681241
"9","Helianthus_annuus_SRR9119062",180009,162.8,4,0,156,0.822,43.59,35.9,30.77,21.15,0.0960871056860656,0.0479419533779771,0.0316936060680639,0.0754886757816798,0.0514559354591764,0.0499759440770544,0.0317028409340401,0.0334652321330479,0.0269584743117838,0.0395294299383082,0.0330014251135299,0.022465272877563,0.0241871256192228,0.020000273821708
"10","Lycapsus_tenuifolius_17",209740,189.6,4,1,155,4.731,98.72,94.87,94.23,88.46,0.040949603654683,0.0878782415581027,0.0535623548963957,0.0949419072741124,0.391296961980004,0.170869797186034,0.0396603042799707,0.0459640482639744,0.0461778802778344,0.0573615149392957,0.0708998618165406,0.0422430999375013,0.0542964179136136,0.0443062739038545
"11","Pericome_caudata_50_silver",276016,249.6,4,1,158,0.634,53.46,32.08,25.16,14.47,0.0280208013578664,0.0444930620636212,1,0.0387859062230739,0.0176259512843235,0.0279885160482879,0.0153691219807869,0.0135925217358362,0.016027013652419,0.0288739815883722,0.0320121922944946,0.0161302751512626,0.0223420195818096,0.0214433622615559
"12","Perityle_aglossa_84_dead_horse",268539,242.8,4,0,159,1.902,84.91,69.81,57.23,44.03,0.0223193875155739,0.0209653105888056,0.0161095218533085,0.0275188095606022,0.0150429148095609,0.0208059101052696,0.0209084242289688,0.0153338510787415,0.0437790846707087,0.0518047988006886,0.100979958761357,1,0.0746294510942107,0.0701166120184191
"13","Perityle_ajoensis_204",240020,217,4,3,157,1.164,83.12,53.12,40.62,30,0.0268953251115003,0.0333887906249927,0.0202668580638379,0.0458389277483184,0.0235551941013919,0.0307869693415386,0.0212272890864912,0.0223755043282253,0.0549558458978078,0.0889491873701148,0.22216190649895,0.138410291907197,0.221319547518488,0.370222561803841
"14","Perityle_ambrosiifolia_67_green",223483,202.1,4,5,155,1.495,86.25,58.12,48.12,33.13,0.0298454343547426,0.0378562336937426,0.0259052141068699,0.0513917541580057,0.0278207805891692,0.0304295371095367,0.0284382721546441,0.0258344856325649,0.0609963965791897,0.103071524803964,0.249620536473323,0.147918164732342,0.183403338109179,0.210193949837304
"15","Perityle_angustifolia_13_Eagle_creek",158458,143.3,4,7,151,3.45,98.1,96.2,87.97,76.58,0.0461387479460465,0.0393517578589912,0.0189321310496681,0.0650856193520961,0.0283901215049426,0.0441819780781886,0.0268665187385427,0.0322950012312238,0.0573182433149303,0.119102258195113,0.241008646513109,0.164349285072658,0.160284338743995,0.165206244191797
"16","Perityle_batopilensis_97",242475,219.2,4,4,156,1.882,96.25,83.75,69.38,41.25,0.028609992596739,0.0394928824996603,0.0229392753795425,0.042799153637417,0.0267175244146037,0.0376899186291373,0.0311541635665917,0.0280847839675715,0.736714273434045,0.093485223992241,0.112762649041835,0.0747307961981053,0.0721260459683158,0.0650891013435759
