#name	%unambiguousReads	unambiguousMB	%ambiguousReads	ambiguousMB	unambiguousReads	ambiguousReads	assignedReads	assignedBases
AmauC	15.34207	30.673740	6.81938	13.151726	211065	93816	254091	36767186
EutP	5.84905	11.730066	5.53976	10.670817	80467	76212	84549	12310400
PerS	4.79703	9.585876	4.62308	8.869899	65994	63601	111559	16014061
PerC	3.90557	7.780937	3.87243	7.401360	53730	53274	90403	12924699
Peri	3.64462	7.267051	4.38139	8.371962	50140	60276	64829	9353580
LapL	3.35270	6.720739	4.79768	9.232653	46124	66003	75032	10842298
LapC	2.84788	5.729015	5.14630	9.984196	39179	70799	47023	6860431
GalP	2.55407	5.063151	1.37098	2.540331	35137	18861	35295	5084798
LapG	2.50929	5.017110	4.59612	8.826187	34521	63230	55452	8015558
GalC	2.37794	4.755558	3.49110	6.689979	32714	48028	80742	11445537
LapA	2.18466	4.385042	5.21564	10.110800	30055	71753	94231	13451930
LapV	2.10841	4.223362	4.73350	9.175713	29006	65120	29132	4241034
LapI	1.99952	4.023227	5.32199	10.383855	27508	73216	43851	6389006
GalL	1.96696	3.929459	2.52957	4.822725	27060	34800	32456	4702138
