#name	%unambiguousReads	unambiguousMB	%ambiguousReads	ambiguousMB	unambiguousReads	ambiguousReads	assignedReads	assignedBases
AmauC	47.70135	24.724465	4.27100	1.953487	172500	15445	179454	25619429
GalP	3.24342	1.658132	1.26595	0.589555	11729	4578	11746	1660058
EutP	2.57034	1.334023	2.76530	1.328097	9295	10000	10038	1438024
PerC	2.47494	1.281396	2.36709	1.130004	8950	8560	15265	2125827
PerS	2.03609	1.048541	2.16191	1.018441	7363	7818	12926	1786122
LapL	1.93432	1.004716	2.34276	1.116862	6995	8472	10378	1465755
LapC	1.67853	0.875362	2.72879	1.312782	6070	9868	7409	1064195
Peri	1.61300	0.833966	1.97719	0.926864	5833	7150	7335	1041039
LapG	1.40311	0.724845	2.26892	1.079409	5074	8205	7443	1053459
GalC	1.36550	0.703905	1.74158	0.818213	4938	6298	11236	1522118
GalL	1.03505	0.532175	1.26374	0.592912	3743	4570	4560	645929
LapA	0.95209	0.488653	2.45282	1.180911	3443	8870	11498	1567032
LapV	0.90646	0.466976	2.05268	0.984127	3278	7423	3292	468973
LapI	0.77871	0.404100	2.06429	0.995381	2816	7465	4195	593872
