#name	%unambiguousReads	unambiguousMB	%ambiguousReads	ambiguousMB	unambiguousReads	ambiguousReads	assignedReads	assignedBases
AmauC	12.65309	24.593877	9.04401	17.151283	253428	181142	330038	31889473
EutP	4.90940	9.513605	7.58153	14.393360	98330	151850	106104	10261444
PerS	4.36309	8.503010	6.52820	12.388744	87388	130753	173731	16729956
Peri	4.23957	8.170403	6.46519	12.194783	84914	129491	114719	11001187
PerC	3.52016	6.837155	5.40193	10.228544	70505	108195	139813	13415653
GalP	2.91029	5.619179	2.52095	4.704652	58290	50492	58905	5678293
LapL	2.86500	5.502165	7.12878	13.505525	57383	142782	106643	10213113
GalC	2.47672	4.810242	4.84803	9.210692	49606	97101	146707	14020934
LapV	2.29473	4.462965	6.97990	13.343630	45961	139800	46546	4518808
LapG	2.29069	4.446052	6.80405	12.915793	45880	136278	81403	7858992
LapC	2.09836	4.100145	7.05419	13.470812	42028	141288	54754	5332811
GalL	1.96266	3.808314	3.49899	6.621555	39310	70081	47042	4552144
LapA	1.88233	3.647066	7.69561	14.653430	37701	154135	174447	16653860
LapI	1.74912	3.396338	6.77140	12.960780	35033	135624	60093	5822857
