#name	%unambiguousReads	unambiguousMB	%ambiguousReads	ambiguousMB	unambiguousReads	ambiguousReads	assignedReads	assignedBases
GalP	5.70882	2.330755	4.57733	1.846849	23779	19066	23932	2345708
EutP	3.65015	1.491548	7.29309	2.943721	15204	30378	16748	1642896
AmauC	2.86941	1.174262	6.05573	2.438044	11952	25224	22786	2228673
Peri	2.65526	1.083027	6.26820	2.526416	11060	26109	16952	1656260
PerS	2.56379	1.047683	6.05045	2.439029	10679	25202	26208	2555414
PerC	2.40438	0.982047	5.07981	2.039930	10015	21159	23169	2252183
LapL	2.14342	0.874876	6.19666	2.500117	8928	25811	18645	1823715
GalC	1.81619	0.743790	4.79220	1.931786	7565	19961	27526	2675576
GalL	1.57995	0.642905	4.03811	1.629204	6581	16820	8370	818045
LapG	1.38957	0.568908	6.22259	2.511403	5788	25919	12738	1250944
LapC	1.34036	0.549730	6.03917	2.441494	5583	25155	7753	762767
LapV	1.16414	0.475051	5.51964	2.239005	4849	22991	5033	493301
LapA	1.08563	0.445269	6.66337	2.703638	4522	27755	28888	2820939
LapI	0.94351	0.386841	5.86823	2.376661	3930	24443	7964	782243
