#name	%unambiguousReads	unambiguousMB	%ambiguousReads	ambiguousMB	unambiguousReads	ambiguousReads	assignedReads	assignedBases
EutP	55.41201	126.115460	3.60341	7.631488	859243	55876	863349	126694012
Peri	2.72203	6.204158	2.08462	4.506629	42209	32325	56584	8245833
AmauC	2.32007	5.291290	1.52092	3.300021	35976	23584	48403	7050744
LapC	2.04715	4.686732	1.82247	3.978508	31744	28260	37610	5529061
GalP	1.98427	4.518404	0.74388	1.596880	30769	11535	30839	4527157
PerS	1.68343	3.830729	1.37401	2.947171	26104	21306	41978	6060397
PerC	1.60185	3.650620	1.33693	2.870737	24839	20731	39466	5686210
LapG	1.45037	3.311527	1.50467	3.250698	22490	23332	31945	4653230
LapL	1.44024	3.290037	1.56670	3.411635	22333	24294	34965	5092156
GalC	1.27018	2.900631	1.28985	2.790389	19696	20001	39697	5691020
LapA	1.22130	2.792584	1.80138	3.938720	18938	27933	44497	6406391
LapV	1.20879	2.756737	1.72483	3.772873	18744	26746	18845	2770938
GalL	1.08065	2.459682	0.94657	2.028079	16757	14678	19938	2914049
LapI	1.04879	2.398067	1.73257	3.810529	16263	26866	23532	3446805
