#name	%unambiguousReads	unambiguousMB	%ambiguousReads	ambiguousMB	unambiguousReads	ambiguousReads	assignedReads	assignedBases
EutP	22.22092	30.905584	3.95438	5.092182	215484	38347	218432	31316562
GalP	7.46080	10.270419	1.21941	1.547555	72350	11825	72402	10276864
AmauC	3.58737	4.968637	2.34116	3.038298	34788	22703	45785	6478147
PerC	3.53674	4.885633	1.91166	2.408856	34297	18538	48263	6720882
LapL	2.67331	3.733275	2.70094	3.527203	25924	26192	40396	5752127
Peri	2.64062	3.648032	2.48088	3.266055	25607	24058	34257	4848608
PerS	2.26680	3.146147	1.97291	2.553727	21982	19132	36100	5049210
GalC	2.26371	3.135455	1.67479	2.159381	21952	16241	38193	5294836
LapG	1.95156	2.733697	2.15378	2.786220	18925	20886	25973	3709640
LapC	1.94043	2.726906	2.17441	2.821428	18817	21086	21445	3080162
GalL	1.29324	1.795992	1.13815	1.464459	12541	11037	14701	2094054
LapV	1.26890	1.758574	2.32259	3.040010	12305	22523	12413	1772302
LapA	1.17671	1.643557	2.24164	2.888025	11411	21738	31076	4265247
LapI	1.17486	1.635407	2.40427	3.170327	11393	23315	18477	2636493
