#name	%unambiguousReads	unambiguousMB	%ambiguousReads	ambiguousMB	unambiguousReads	ambiguousReads	assignedReads	assignedBases
GalP	6.43323	6.260202	5.17712	4.965974	63891	51416	64622	6331741
EutP	5.15486	5.023925	9.35920	9.025658	51195	92950	56751	5566643
Peri	3.78295	3.682643	7.99827	7.694082	37570	79434	57040	5582727
AmauC	3.62920	3.542567	7.03274	6.762796	36043	69845	65858	6444633
PerS	2.87462	2.809482	6.43837	6.185577	28549	63942	69643	6800053
PerC	2.81793	2.747576	6.40534	6.162555	27986	63614	68773	6712430
LapL	2.59168	2.532953	8.59073	8.280152	25739	85318	58155	5706683
GalC	2.28417	2.233224	5.67896	5.464046	22685	56400	79085	7697270
LapC	1.82049	1.783761	7.94953	7.685318	18080	78950	25674	2529438
LapG	1.53815	1.500680	7.22647	6.962270	15276	71769	35716	3499234
LapV	1.46384	1.433237	8.02505	7.759211	14538	79700	15252	1502748
GalL	1.34070	1.310859	4.38528	4.210807	13315	43552	17847	1755920
LapA	1.29488	1.268244	8.33901	8.058663	12860	82818	85677	8359748
LapI	1.24796	1.219728	6.96186	6.732472	12394	69141	24156	2372065
