#name	%unambiguousReads	unambiguousMB	%ambiguousReads	ambiguousMB	unambiguousReads	ambiguousReads	assignedReads	assignedBases
GalP	55.38100	26.759146	1.66761	0.655989	191986	5781	192082	26770064
PerC	1.71117	0.828753	1.59030	0.693120	5932	5513	9561	1283477
AmauC	1.65232	0.796873	1.53261	0.666716	5728	5313	8191	1109329
EutP	1.56434	0.766151	1.75876	0.782543	5423	6097	5950	832955
LapL	1.39847	0.685935	1.68290	0.742530	4848	5834	7339	1014641
PerS	1.18212	0.574685	1.66155	0.734868	4098	5760	8137	1100815
Peri	0.97414	0.466036	1.41982	0.623454	3377	4922	4736	642523
GalC	0.93289	0.444917	1.26693	0.545706	3234	4392	7626	990623
LapC	0.80481	0.391348	1.58049	0.703237	2790	5479	3601	495513
LapG	0.65654	0.318004	1.43366	0.625913	2276	4970	3540	480710
GalL	0.54520	0.261128	0.85241	0.366245	1890	2955	2418	328095
LapI	0.50193	0.244510	1.52626	0.693703	1740	5291	2705	374734
LapV	0.49270	0.238598	1.50751	0.679109	1708	5226	1760	244982
LapA	0.47395	0.233331	1.59001	0.724890	1643	5512	6616	894407
