#name	%unambiguousReads	unambiguousMB	%ambiguousReads	ambiguousMB	unambiguousReads	ambiguousReads	assignedReads	assignedBases
GalP	5.32140	2.004925	4.32370	1.608034	20572	16715	20715	2018962
PerS	3.05026	1.153829	5.70553	2.118799	11792	22057	25033	2431852
EutP	2.65656	1.011866	6.82221	2.545008	10270	26374	11932	1174135
PerC	2.51093	0.948195	4.98668	1.852129	9707	19278	21414	2074960
AmauC	2.38392	0.899899	5.24199	1.949627	9216	20265	17677	1722078
Peri	2.03213	0.765983	5.41038	2.011767	7856	20916	12515	1221280
GalC	1.76673	0.664671	4.78414	1.782472	6830	18495	25325	2447143
GalL	1.54505	0.581362	3.75747	1.394740	5973	14526	7813	761399
LapL	1.52513	0.578272	5.80356	2.164395	5896	22436	14701	1435719
LapG	1.39243	0.526533	5.32709	1.980955	5383	20594	10739	1049098
LapC	1.06754	0.405845	5.34494	1.999646	4127	20663	5893	578654
LapA	1.00287	0.378933	5.56455	2.081166	3877	21512	22095	2142467
LapV	0.95786	0.360268	4.85683	1.815359	3703	18776	3854	374743
LapI	0.83267	0.315509	5.06919	1.901663	3219	19597	6286	616259
