#name	%unambiguousReads	unambiguousMB	%ambiguousReads	ambiguousMB	unambiguousReads	ambiguousReads	assignedReads	assignedBases
PerS	23.19572	12.095774	4.56019	2.306864	82265	16173	93478	13705089
AmauC	8.15072	4.261614	3.70895	1.889384	28907	13154	34957	5141008
EutP	4.86951	2.546584	3.94185	2.000564	17270	13980	17994	2650877
Peri	3.43431	1.792966	3.22763	1.636047	12180	11447	15478	2270868
PerC	3.15799	1.641499	2.77903	1.404796	11200	9856	17551	2551866
GalC	2.42658	1.269580	2.84473	1.448615	8606	10089	18695	2718195
LapG	2.38513	1.242743	3.07227	1.558632	8459	10896	12221	1788354
LapC	2.29349	1.200478	3.86431	1.977347	8134	13705	9802	1444439
GalP	2.26783	1.182055	0.93471	0.460262	8043	3315	8091	1188953
LapL	2.21313	1.159978	2.96259	1.509866	7849	10507	12123	1782997
LapV	2.15025	1.122511	3.64325	1.861124	7626	12921	7673	1129431
GalL	1.93286	1.008214	1.92666	0.972683	6855	6833	8033	1179378
LapA	1.88577	0.985525	3.89589	1.993419	6688	13817	18916	2749807
LapI	1.84460	0.964965	4.10313	2.101799	6542	14552	9963	1466388
