#name	%unambiguousReads	unambiguousMB	%ambiguousReads	ambiguousMB	unambiguousReads	ambiguousReads	assignedReads	assignedBases
Peri	64.11798	90.002756	2.87998	3.576424	620101	27853	630335	91380131
EutP	2.46545	3.469483	1.76058	2.268473	23844	17027	24819	3606107
GalP	1.55182	2.150174	0.60230	0.771777	15008	5825	15078	2160052
AmauC	1.33509	1.878265	1.11495	1.431212	12912	10783	18776	2674241
PerC	1.29011	1.808308	1.04785	1.343333	12477	10134	19810	2784329
LapL	1.11402	1.565647	1.24100	1.601379	10774	12002	17278	2462323
PerS	1.04485	1.467042	0.97423	1.236662	10105	9422	16919	2377029
LapC	1.03554	1.469740	1.52183	2.005811	10015	14718	11960	1743775
LapI	0.89275	1.259167	1.42505	1.898524	8634	13782	12000	1742012
LapV	0.88479	1.243207	1.11340	1.454368	8557	10768	8643	1255592
LapG	0.82781	1.167924	0.98591	1.258518	8006	9535	11616	1660110
GalL	0.74902	1.054016	0.64159	0.813158	7244	6205	8233	1195235
LapA	0.72007	1.010336	1.33581	1.745660	6964	12919	18462	2571323
GalC	0.71759	1.011304	0.97464	1.256628	6940	9426	16366	2267932
