#name	%unambiguousReads	unambiguousMB	%ambiguousReads	ambiguousMB	unambiguousReads	ambiguousReads	assignedReads	assignedBases
LapA	44.64090	53.726921	12.21048	13.781925	368699	100849	464762	66917034
LapC	3.26653	3.933825	6.36791	7.179782	26979	52594	30816	4479103
LapV	2.95548	3.544893	5.89801	6.630607	24410	48713	24461	3551653
LapI	2.91916	3.503731	6.29793	7.129861	24110	52016	31594	4572103
LapG	2.26123	2.696915	3.48689	3.811849	18676	28799	25777	3694958
LapL	1.99874	2.392702	3.34051	3.656003	16508	27590	23472	3349936
GalP	1.23607	1.458238	0.59316	0.620808	10209	4899	10258	1465213
EutP	1.16173	1.386337	1.52448	1.604652	9595	12591	10342	1488709
Peri	1.03291	1.230764	1.21125	1.258681	8531	10004	10668	1518795
GalL	1.01898	1.214098	0.96377	1.005879	8416	7960	9145	1313305
AmauC	0.99247	1.175493	1.22106	1.290533	8197	10085	12221	1725025
PerC	0.91534	1.085834	1.13679	1.196807	7560	9389	12001	1674980
PerS	0.89173	1.056079	1.02867	1.050030	7365	8496	11692	1627336
GalC	0.80952	0.959029	1.35872	1.438644	6686	11222	17908	2397673
