#name	%unambiguousReads	unambiguousMB	%ambiguousReads	ambiguousMB	unambiguousReads	ambiguousReads	assignedReads	assignedBases
LapI	15.41345	47.833674	14.33645	42.941414	328749	305778	453732	65747998
LapV	8.76471	27.163520	12.19253	36.372336	186940	260051	187098	27184798
LapC	7.18656	22.287385	10.56824	31.456265	153280	225407	182665	26491406
LapA	6.17876	19.119767	10.98960	32.719987	131785	234394	356914	50651458
LapL	3.43185	10.603345	5.38303	15.697961	73197	114813	134055	19119490
LapG	2.83852	8.784981	4.75097	13.796581	60542	101332	98957	14173267
EutP	1.85014	5.710776	2.29161	6.473283	39461	48877	42414	6117207
PerC	1.52471	4.691454	1.48523	4.141699	32520	31678	53107	7441299
GalP	1.48949	4.539916	0.74055	2.052454	31769	15795	32014	4573768
AmauC	1.46858	4.515207	1.42568	3.984311	31323	30408	45358	6414410
PerS	1.39633	4.274068	1.54651	4.313261	29782	32985	52190	7287695
Peri	1.29947	3.995776	1.78089	5.015186	27716	37984	38536	5492959
GalC	1.18127	3.628935	1.75027	4.907211	25195	37331	62526	8536146
GalL	1.03452	3.175947	1.19027	3.259361	22065	25387	25922	3705092
