#name	%unambiguousReads	unambiguousMB	%ambiguousReads	ambiguousMB	unambiguousReads	ambiguousReads	assignedReads	assignedBases
LapI	8.75099	8.231107	13.51806	12.191444	57111	88222	88749	12732623
LapC	8.07480	7.595968	11.93430	10.697345	52698	77886	63174	9084661
LapV	7.26315	6.842274	11.95958	10.745836	47401	78051	47488	6853547
LapA	6.60320	6.211949	12.03313	10.773238	43094	78531	118193	16561566
LapL	3.97672	3.729019	6.43526	5.630634	25953	41998	46051	6496529
LapG	3.15052	2.943954	5.90693	5.149916	20561	38550	34774	4917150
EutP	2.09769	1.953655	2.96894	2.521050	13690	19376	14869	2114875
PerC	1.70941	1.590309	1.78602	1.473342	11156	11656	18717	2571622
Peri	1.66099	1.538375	2.30209	1.927351	10840	15024	14544	2032691
GalP	1.65287	1.505346	0.89914	0.722849	10787	5868	10841	1512143
PerS	1.64919	1.527882	1.89390	1.573780	10763	12360	18605	2559467
AmauC	1.45153	1.342797	1.94124	1.609034	9473	12669	15074	2078973
GalL	1.38595	1.290158	1.65655	1.373696	9045	10811	10655	1511688
GalC	1.36388	1.268532	2.23406	1.863218	8901	14580	23481	3131750
