#name	%unambiguousReads	unambiguousMB	%ambiguousReads	ambiguousMB	unambiguousReads	ambiguousReads	assignedReads	assignedBases
LapC	7.79622	5.282041	10.08071	6.474107	36833	47626	42960	6140924
LapA	7.33670	4.975114	10.12410	6.515097	34662	47831	80297	11220582
LapI	6.87802	4.671071	11.01097	7.138660	32495	52021	50816	7255653
LapV	6.34759	4.299662	9.72490	6.266666	29989	45945	30102	4314326
LapL	4.59522	3.095800	5.08861	3.184927	21710	24041	33011	4625387
LapG	2.96054	1.992537	5.06491	3.188293	13987	23929	23109	3251724
GalP	2.55521	1.688295	1.11102	0.663294	12072	5249	12156	1699189
EutP	2.18056	1.464952	2.40641	1.454219	10302	11369	10921	1547814
PerC	2.16490	1.452722	1.77904	1.064685	10228	8405	15485	2134605
AmauC	2.10754	1.409245	1.90371	1.137904	9957	8994	14214	1961652
GalC	1.70495	1.141495	2.15686	1.313674	8055	10190	18245	2455169
PerS	1.68294	1.120003	1.71723	1.025129	7951	8113	13169	1797711
GalL	1.30935	0.874032	1.53964	0.920854	6186	7274	7453	1044948
Peri	1.21389	0.811250	1.74051	1.035799	5735	8223	8152	1130369
