#name	%unambiguousReads	unambiguousMB	%ambiguousReads	ambiguousMB	unambiguousReads	ambiguousReads	assignedReads	assignedBases
LapG	38.05197	99.722712	8.88682	22.314261	683442	159614	749377	109123234
LapC	3.64768	9.583225	5.97792	15.126593	65515	107368	75803	11067705
LapL	3.60686	9.464553	4.48701	11.224977	64782	80590	113540	16388265
LapA	3.33605	8.764134	5.87988	14.847545	59918	105607	159961	22876650
LapV	2.85634	7.487707	5.03192	12.673004	51302	90377	51361	7495550
LapI	2.70985	7.130127	5.98299	15.193987	48671	107459	74564	10877917
EutP	2.18838	5.740586	2.17458	5.318538	39305	39057	41629	6068613
AmauC	1.79786	4.705656	1.45879	3.553556	32291	26201	45562	6553087
GalP	1.58445	4.137689	0.53422	1.265315	28458	9595	28498	4143073
PerS	1.58379	4.148810	1.44766	3.497943	28446	26001	46049	6580621
GalL	1.51831	3.974171	1.39126	3.360088	27270	24988	29756	4328185
GalC	1.48268	3.890256	1.68579	4.101301	26630	30278	56908	7991557
Peri	1.47082	3.841194	1.55411	3.750265	26417	27913	34078	4924008
PerC	1.42360	3.725365	1.23748	2.970115	25569	22226	39855	5662002
