#name	%unambiguousReads	unambiguousMB	%ambiguousReads	ambiguousMB	unambiguousReads	ambiguousReads	assignedReads	assignedBases
LapC	11.80620	47.189550	11.99784	46.867794	320547	325750	370180	54442568
LapA	8.39359	33.525597	10.88799	42.469794	227892	295617	512964	74573728
LapV	7.58263	30.279174	10.80925	42.238742	205874	293479	206273	30335968
LapI	6.86888	27.443752	11.46312	44.897413	186495	311232	306332	44963083
LapL	4.33557	17.295358	5.27437	20.382494	117714	143203	194045	28299198
LapG	3.84089	15.298357	5.36037	20.674668	104283	145538	167101	24386710
EutP	2.47282	9.882225	2.32182	8.806091	67139	63039	71145	10458971
AmauC	1.93542	7.728345	1.49558	5.638612	52548	40606	72172	10518549
GalP	1.92547	7.661970	0.66333	2.465190	52278	18010	52618	7711668
PerS	1.62578	6.472097	1.52453	5.736630	44141	41392	71700	10363224
PerC	1.55996	6.199412	1.34626	5.014743	42354	36552	65206	9377506
GalC	1.51300	6.017010	1.81667	6.852754	41079	49324	90403	12869764
GalL	1.28615	5.111812	1.29569	4.867057	34920	35179	41439	6052031
Peri	1.19606	4.750733	1.47381	5.495860	32474	40015	44431	6455740
