#name	%unambiguousReads	unambiguousMB	%ambiguousReads	ambiguousMB	unambiguousReads	ambiguousReads	assignedReads	assignedBases
PerC	33.26234	312.608982	4.37486	34.473792	2254546	296531	2460421	337001715
GalP	2.60252	23.871896	1.21194	9.342521	176401	82146	177074	23952498
PerS	2.26278	21.275563	2.40083	19.547802	153373	162730	244006	32634686
AmauC	1.77738	16.617549	2.03288	16.428153	120472	137790	169682	22900916
EutP	1.57192	14.887835	2.42063	20.037966	106546	164072	112018	15589591
Peri	1.39132	13.051932	2.05043	16.690279	94305	138980	126763	17344809
LapL	1.38122	13.043388	2.17425	17.807657	93620	147372	136144	18591508
GalC	1.00484	9.418923	1.74768	14.121694	68109	118459	186568	23540617
LapC	0.90588	8.621583	2.15303	18.103939	61401	145934	75556	10523066
LapG	0.89393	8.435763	1.89675	15.446180	60591	128563	93812	12753188
GalL	0.87936	8.103696	1.40078	11.222162	59604	94946	69300	9371527
LapA	0.71317	6.748833	2.16767	18.294403	48339	146926	180051	23273787
LapI	0.69906	6.572585	1.89458	16.096563	47383	128416	68887	9477520
LapV	0.68183	6.296264	1.74381	14.672435	46215	118197	46983	6391942
