#name	%unambiguousReads	unambiguousMB	%ambiguousReads	ambiguousMB	unambiguousReads	ambiguousReads	assignedReads	assignedBases
GalC	52.79300	95.551843	3.45232	5.502583	666764	43602	710366	101054426
GalL	2.19489	3.981761	1.76559	2.896883	27721	22299	30557	4376723
EutP	2.14548	3.926781	2.01563	3.368278	27097	25457	28320	4097984
GalP	1.96290	3.542315	0.75781	1.232267	24791	9571	24870	3553270
PerC	1.90415	3.443020	1.48799	2.450485	24049	18793	35924	5061732
PerS	1.71737	3.118415	1.43550	2.359244	21690	18130	32372	4581202
AmauC	1.71579	3.121882	1.33644	2.198686	21670	16879	28046	3995503
LapL	1.71016	3.113344	1.70343	2.797924	21599	21514	29517	4205483
LapC	1.63415	2.986564	2.16932	3.674172	20639	27398	24649	3557069
LapG	1.28245	2.339148	1.74920	2.884023	16197	22092	23116	3308673
Peri	1.19575	2.162009	1.47033	2.418765	15102	18570	19661	2793212
LapV	1.15014	2.087162	1.75118	2.943629	14526	22117	14659	2105960
LapA	1.10374	2.012428	2.07240	3.498760	13940	26174	33474	4698880
LapI	0.95306	1.739229	1.86108	3.179067	12037	23505	17660	2544461
