#name	%unambiguousReads	unambiguousMB	%ambiguousReads	ambiguousMB	unambiguousReads	ambiguousReads	assignedReads	assignedBases
LapC	10.26632	24.088058	11.96112	26.646043	167630	195303	198218	28400855
LapA	8.20295	19.201872	11.67003	25.954404	133939	190550	316678	44203218
LapV	8.12927	19.007482	11.83600	26.434142	132736	193260	133056	19050243
LapI	7.37554	17.278393	12.38493	27.804497	120429	202223	196544	28040465
LapL	3.99739	9.322937	5.62875	12.204005	65270	91907	110343	15485330
LapG	3.51332	8.157757	5.64736	12.229072	57366	92211	94674	13314974
EutP	2.56630	6.009362	2.62118	5.487571	41903	42799	44407	6347128
PerC	1.80633	3.997701	1.51107	3.065834	29494	24673	44703	5955040
PerS	1.60110	3.650858	1.74711	3.566584	26143	28527	45054	6125350
AmauC	1.55413	3.616188	1.67374	3.416922	25376	27329	36833	5109839
GalP	1.51867	3.498811	0.77045	1.549586	24797	12580	25084	3539463
GalC	1.46097	3.400532	1.93108	3.979679	23855	31531	55386	7380211
Peri	1.19315	2.751460	1.78881	3.660337	19482	29208	27939	3884810
GalL	1.06074	2.464704	1.43409	2.933127	17320	23416	20668	2917839
