#name	%unambiguousReads	unambiguousMB	%ambiguousReads	ambiguousMB	unambiguousReads	ambiguousReads	assignedReads	assignedBases
LapC	32.34830	81.322778	13.08223	31.224087	561308	227003	599698	86752459
LapI	3.97147	9.968139	7.53342	18.062978	68913	130720	123385	17701914
LapA	3.95533	9.952208	7.50680	17.921091	68633	130258	193595	27211782
LapV	3.94894	9.922747	7.55745	18.049245	68522	131137	68798	9960932
LapL	2.87448	7.198822	3.97787	9.261077	49878	69024	88735	12551180
LapG	2.55982	6.409605	4.12356	9.630185	44418	71552	77178	10973478
AmauC	1.95113	4.882211	1.54605	3.494344	33856	26827	48031	6791513
EutP	1.85921	4.655191	2.12114	4.848855	32261	36806	34726	4998399
PerS	1.70585	4.246408	1.40358	3.137343	29600	24355	45718	6381463
GalP	1.68885	4.189778	0.70165	1.549640	29305	12175	29450	4209366
PerC	1.52230	3.784010	1.38468	3.103889	26415	24027	42412	5889417
GalL	1.24539	3.099669	1.24009	2.784538	21610	21518	25240	3598851
Peri	1.22896	3.069859	1.38987	3.090604	21325	24117	28823	4086760
GalC	1.22845	3.056344	1.69854	3.855701	21316	29473	50789	6912045
