#name	%unambiguousReads	unambiguousMB	%ambiguousReads	ambiguousMB	unambiguousReads	ambiguousReads	assignedReads	assignedBases
LapI	20.17115	14.335266	14.71368	10.119791	98197	71629	126917	18466774
LapV	6.94221	4.919029	11.05627	7.575243	33796	53824	33864	4928099
LapC	5.94964	4.214663	9.43924	6.455719	28964	45952	34316	4979315
LapA	5.14894	3.649117	10.09595	6.902647	25066	49149	71987	10256589
LapL	3.01529	2.130393	4.90141	3.288801	14679	23861	27402	3917614
LapG	2.77475	1.954937	4.55611	3.052478	13508	22180	22773	3262277
GalP	1.80087	1.248406	0.80194	0.518071	8767	3904	8799	1252700
Peri	1.67578	1.179199	1.68482	1.096080	8158	8202	10455	1492379
PerC	1.67228	1.178645	1.63449	1.071032	8141	7957	13344	1885885
EutP	1.45187	1.024006	2.13283	1.401312	7068	10383	7779	1122121
GalC	1.34752	0.948677	1.69899	1.116237	6560	8271	14831	2064914
PerS	1.33828	0.936360	1.46009	0.947036	6515	7108	11042	1551929
AmauC	1.31260	0.922992	1.35389	0.880924	6390	6591	9792	1390173
GalL	1.21626	0.856699	1.34444	0.883903	5921	6545	6860	988933
