#name	%unambiguousReads	unambiguousMB	%ambiguousReads	ambiguousMB	unambiguousReads	ambiguousReads	assignedReads	assignedBases
GalP	6.10154	2.057792	1.57966	0.465743	15597	4038	15609	2059088
LapC	4.97215	1.763578	8.35524	2.697569	12710	21358	15238	2100402
LapL	3.84784	1.341090	5.38760	1.695610	9836	13772	16157	2152239
LapV	3.52745	1.247595	7.80404	2.546396	9017	19949	9053	1251952
LapI	3.40617	1.205613	7.77587	2.547492	8707	19877	14500	1991099
LapA	3.33380	1.182181	7.82243	2.534074	8522	19996	26961	3538520
PerC	2.73683	0.943752	2.19932	0.649697	6996	5622	10584	1364772
AmauC	2.69028	0.922078	2.37928	0.691463	6877	6082	9492	1230592
LapG	2.05967	0.719962	4.71787	1.470138	5265	12060	9377	1255268
EutP	1.79248	0.620184	2.50016	0.746579	4582	6391	4871	656096
GalC	1.33868	0.461911	2.56079	0.772483	3422	6546	9968	1234394
PerS	1.33438	0.458984	1.94896	0.570332	3411	4982	6602	838856
Peri	1.18573	0.402096	2.14808	0.633740	3031	5491	4340	564948
GalL	0.98856	0.340425	1.64069	0.484238	2527	4194	3095	411550
