#name	%unambiguousReads	unambiguousMB	%ambiguousReads	ambiguousMB	unambiguousReads	ambiguousReads	assignedReads	assignedBases
LapI	13.28854	15.957019	14.49968	17.089861	108995	118929	158351	23150555
LapV	9.28229	11.145740	12.43755	14.644878	76135	102015	76187	11153051
LapC	8.28597	9.977601	11.78772	13.868530	67963	96685	81937	12015664
LapA	8.09395	9.721377	11.91939	13.988362	66388	97765	160832	23263679
LapL	3.57259	4.297871	5.29384	6.153435	29303	43421	51738	7526373
LapG	3.50821	4.203711	5.31347	6.142689	28775	43582	47634	6914401
EutP	1.83110	2.202003	2.35291	2.686391	15019	19299	16472	2411149
GalL	1.58312	1.893630	1.29392	1.447952	12985	10613	14237	2072763
Peri	1.55300	1.854856	1.65054	1.851486	12738	13538	17356	2511236
PerS	1.46717	1.760704	1.32136	1.474943	12034	10838	19083	2742038
GalC	1.22687	1.469468	1.59177	1.793090	10063	13056	23119	3262558
GalP	1.17140	1.405317	0.45756	0.503768	9608	3753	9635	1409003
AmauC	1.12299	1.349811	1.32587	1.499373	9211	10875	14254	2061601
PerC	0.95950	1.148147	1.07008	1.177284	7870	8777	13390	1903044
