#name	%unambiguousReads	unambiguousMB	%ambiguousReads	ambiguousMB	unambiguousReads	ambiguousReads	assignedReads	assignedBases
LapI	7.69926	32.121704	12.23299	48.743028	224095	356054	345888	49288662
LapC	6.80649	28.372310	10.89585	42.986426	198110	317135	237703	33921660
LapV	6.48711	26.998033	11.15260	44.140221	188814	324608	189167	27043333
LapA	5.14367	21.437798	10.87317	42.964713	149712	316475	449297	62321794
LapL	4.94932	20.302197	6.22527	23.958967	144055	181193	231634	32199722
LapG	3.35357	13.892639	5.80536	22.309802	97609	168971	161027	22599830
PerC	2.63976	10.891135	2.31887	8.540565	76833	67493	122502	16783057
GalP	2.37700	9.631106	1.32821	4.797217	69185	38659	69470	9667661
AmauC	1.90490	7.806294	2.17745	7.918920	55444	63377	84995	11636116
EutP	1.84862	7.628649	2.98330	11.163450	53806	86832	58855	8302230
PerS	1.76640	7.219059	1.97038	7.221256	51413	57350	86529	11754500
Peri	1.71518	7.051459	2.21212	8.165644	49922	64386	66951	9321107
GalC	1.37473	5.641808	2.51941	9.356564	40013	73330	113343	14998372
GalL	1.15777	4.747545	1.75232	6.446611	33698	51003	41416	5793587
