#name	%unambiguousReads	unambiguousMB	%ambiguousReads	ambiguousMB	unambiguousReads	ambiguousReads	assignedReads	assignedBases
LapI	23.29178	58.526698	13.81398	33.702688	400048	237262	506649	73934515
LapV	8.16681	20.502063	10.64109	25.926952	140269	182766	140360	20514426
LapC	7.32427	18.410390	9.31158	22.600697	125798	159931	146084	21346432
LapA	5.73398	14.390896	9.54400	23.171723	98484	163923	257103	36876363
LapL	3.55926	8.931044	4.20279	10.013765	61132	72185	99093	14297679
LapG	2.95578	7.412161	3.88583	9.219749	50767	66741	79005	11418301
EutP	1.77433	4.453164	1.75028	4.032422	30475	30062	32919	4799062
AmauC	1.46435	3.664760	1.26797	2.937484	25151	21778	34980	5023881
Peri	1.26057	3.151252	1.22081	2.762902	21651	20968	28345	4076096
PerS	1.19403	2.974439	1.11415	2.529658	20508	19136	33498	4752618
GalP	1.16032	2.895770	0.51830	1.183534	19929	8902	19976	2902254
GalL	1.14879	2.878795	0.98524	2.242500	19731	16922	22530	3276067
GalC	1.14541	2.866507	1.33591	3.059384	19673	22945	42618	5925891
PerC	1.13563	2.838912	1.03234	2.327837	19505	17731	30655	4337360
