#name	%unambiguousReads	unambiguousMB	%ambiguousReads	ambiguousMB	unambiguousReads	ambiguousReads	assignedReads	assignedBases
LapL	13.43128	14.991758	9.97529	10.901152	101858	75649	145794	21385138
LapG	6.32730	7.041529	7.00547	7.594245	47984	53127	67589	9886737
LapC	5.65441	6.311192	9.11396	9.957140	42881	69117	51527	7578042
LapV	5.59296	6.228426	8.86395	9.670472	42415	67221	42446	6232743
LapA	5.31935	5.926010	9.16170	9.990123	40340	69479	106002	15387972
LapI	5.19315	5.782282	9.52709	10.413695	39383	72250	59329	8688557
EutP	2.77518	3.085643	3.13768	3.357489	21046	23795	22455	3290402
Peri	2.27081	2.517035	2.30246	2.437707	17221	17461	21978	3198956
GalL	2.03820	2.274996	1.99390	2.124953	15457	15121	17400	2555600
PerS	2.01565	2.240386	2.08686	2.218268	15286	15826	25970	3760177
AmauC	1.89671	2.110432	1.86770	1.985553	14384	14164	21018	3053171
GalC	1.75799	1.956249	2.30958	2.457795	13332	17515	30847	4414044
PerC	1.38232	1.528854	1.43928	1.505436	10483	10915	17846	2560224
GalP	1.35120	1.498221	0.61685	0.640207	10247	4678	10267	1501047
