#name	%unambiguousReads	unambiguousMB	%ambiguousReads	ambiguousMB	unambiguousReads	ambiguousReads	assignedReads	assignedBases
LapG	6.84777	7.868689	7.78682	8.707184	53846	61230	75748	11026645
LapL	6.14170	7.094859	7.40288	8.295859	48294	58211	80610	11757332
LapV	5.70321	6.546081	8.98453	10.093133	44846	70648	44890	6552172
LapC	4.91575	5.675796	8.53688	9.585187	38654	67128	46792	6859208
LapA	4.90444	5.636221	9.31175	10.450128	38565	73221	106240	15310370
LapI	4.66408	5.373230	9.29484	10.472403	36675	73088	58766	8586621
EutP	3.15936	3.634337	3.72452	4.112170	24843	29287	26307	3843967
Peri	3.09540	3.526409	3.19548	3.498049	24340	25127	31613	4556054
GalC	2.68463	3.086651	3.26937	3.619292	21110	25708	46818	6705943
GalL	2.13168	2.447699	2.49043	2.739719	16762	19583	19076	2779281
AmauC	2.08195	2.390379	2.42710	2.679084	16371	19085	25644	3709712
PerS	1.88878	2.164357	2.46780	2.713272	14852	19405	27081	3890120
GalP	1.68594	1.917576	0.78275	0.830837	13257	6155	13342	1929939
PerC	1.48259	1.694808	2.08081	2.283554	11658	16362	22386	3204298
