#name	%unambiguousReads	unambiguousMB	%ambiguousReads	ambiguousMB	unambiguousReads	ambiguousReads	assignedReads	assignedBases
GalL	12.16604	13.693038	5.80971	6.154397	95101	45414	99948	14374036
GalC	6.49975	7.290463	5.83913	6.191257	50808	45644	96452	13481720
LapG	3.57507	4.018028	5.58046	5.912256	27946	43622	41828	5951308
EutP	3.37320	3.799349	4.54297	4.770528	26368	35512	27495	3955664
Peri	2.63160	2.932635	4.19270	4.389992	20571	32774	29173	4124881
PerS	2.62725	2.939149	3.48168	3.625237	20537	27216	37205	5182864
GalP	2.59463	2.826866	1.09071	1.059844	20282	8526	20343	2833740
LapL	2.50214	2.804248	5.35352	5.680337	19559	41848	37110	5244566
AmauC	2.41694	2.676394	3.09316	3.211770	18893	24179	29221	4084691
LapV	2.38291	2.688984	5.35582	5.735637	18627	41866	18715	2700507
PerC	2.24654	2.499293	3.38100	3.516177	17561	26429	34741	4816370
LapI	2.16556	2.441643	5.84680	6.288767	16928	45704	27193	3898515
LapA	2.15545	2.429356	6.30555	6.709802	16849	49290	58322	8103369
LapC	2.07447	2.348531	5.17327	5.503790	16216	40439	19585	2825332
