#name	%unambiguousReads	unambiguousMB	%ambiguousReads	ambiguousMB	unambiguousReads	ambiguousReads	assignedReads	assignedBases
PerS	37.57792	21.878190	4.14664	2.148176	153850	16977	165728	23406817
PerC	3.46909	1.995380	2.60591	1.360533	14203	10669	20616	2820999
AmauC	2.76174	1.593060	2.13743	1.114960	11307	8751	14674	2036039
GalP	2.68627	1.520131	1.13943	0.569849	10998	4665	11073	1530078
EutP	1.96084	1.136402	2.43371	1.281123	8028	9964	8494	1196927
LapL	1.68655	0.976904	2.27104	1.191020	6905	9298	10458	1456222
GalC	1.59398	0.923610	1.91004	1.005958	6526	7820	14346	1929568
LapC	1.58103	0.915846	2.58368	1.370926	6473	10578	7652	1079001
Peri	1.56955	0.906747	2.09152	1.095701	6426	8563	8599	1203983
LapG	1.24910	0.721034	2.23611	1.183702	5114	9155	7714	1074105
LapV	1.14456	0.662778	2.03265	1.084256	4686	8322	4845	684581
GalL	1.09155	0.633588	1.44596	0.757055	4469	5920	5170	727963
LapI	0.95453	0.558406	2.28887	1.239480	3908	9371	6065	859846
LapA	0.83973	0.487252	2.14330	1.148546	3438	8775	11245	1514773
