#name	%unambiguousReads	unambiguousMB	%ambiguousReads	ambiguousMB	unambiguousReads	ambiguousReads	assignedReads	assignedBases
PerS	30.18378	35.626322	4.68751	5.037154	251695	39088	278462	39129180
GalP	4.93599	5.725407	1.39853	1.459482	41160	11662	41294	5743697
PerC	3.99940	4.701127	2.93845	3.189221	33350	24503	48870	6755929
AmauC	3.52943	4.144039	2.49534	2.671057	29431	20808	37006	5137724
LapL	2.55350	3.010787	2.75833	2.982740	21293	23001	30502	4240856
EutP	2.19050	2.587588	2.58492	2.789616	18266	21555	19304	2727325
Peri	1.88314	2.218622	2.54822	2.793884	15703	21249	21650	3034395
GalC	1.57158	1.837085	2.24362	2.435813	13105	18709	31814	4272898
LapC	1.48044	1.735748	2.60806	2.827191	12345	21748	14168	1985744
LapG	1.23855	1.454601	2.30058	2.493123	10328	19184	16188	2263465
LapV	1.20522	1.414983	2.24962	2.473612	10050	18759	10188	1434322
LapI	1.06946	1.262163	2.62030	2.888979	8918	21850	13457	1891995
GalL	0.99847	1.168548	1.50958	1.619560	8326	12588	9606	1342063
LapA	0.78561	0.906975	2.25130	2.439640	6551	18773	23607	3144200
