#name	%unambiguousReads	unambiguousMB	%ambiguousReads	ambiguousMB	unambiguousReads	ambiguousReads	assignedReads	assignedBases
PerC	20.28171	35.646767	7.22271	11.548699	249877	88986	309521	43498171
PerS	4.66839	8.165758	5.24070	8.386335	57516	64567	95930	13265580
EutP	3.54114	6.239108	5.33039	8.602303	43628	65672	46611	6643902
Peri	3.33547	5.826303	4.74396	7.624419	41094	58447	52970	7454451
AmauC	2.89895	5.049997	3.95859	6.267304	35716	48771	52891	7329050
GalP	2.31796	3.956284	1.55930	2.343130	28558	19211	28715	3976293
LapL	2.19256	3.851965	4.83811	7.795961	27013	59607	48142	6726238
GalC	2.13818	3.716819	3.67783	5.832824	26343	45312	71655	9549643
LapG	1.77828	3.122891	4.55816	7.301222	21909	56158	37133	5203016
LapI	1.67082	2.851736	4.72910	7.824494	20585	58264	29652	4131526
LapV	1.60280	2.814677	4.39559	7.191830	19747	54155	19906	2834456
GalL	1.57658	2.749758	2.66316	4.212841	19424	32811	22939	3228319
LapA	1.51271	2.648343	5.29581	8.654125	18637	65246	77327	10495485
LapC	1.41604	2.514109	4.89249	8.016348	17446	60277	22530	3217377
