#name	%unambiguousReads	unambiguousMB	%ambiguousReads	ambiguousMB	unambiguousReads	ambiguousReads	assignedReads	assignedBases
PerC	9.22506	21.189922	5.39867	11.899798	145428	85107	199509	28820312
PerS	8.77430	20.162348	5.95327	13.200834	138322	93850	199367	28826442
EutP	6.14528	14.169806	5.98238	13.301895	96877	94309	100630	14711458
AmauC	4.39825	10.123728	4.34027	9.632930	69336	68422	95951	13925789
Peri	4.22996	9.712940	4.89830	10.840173	66683	77219	86934	12624642
GalC	3.20081	7.357393	4.26567	9.424187	50459	67246	117705	16781580
LapG	2.79027	6.418198	4.56388	10.070703	43987	71947	67626	9801124
GalL	2.64830	6.067647	2.91948	6.393925	41749	46024	48210	6995762
LapL	2.53640	5.849631	4.65992	10.356422	39985	73461	70602	10244340
LapV	2.33348	5.373821	5.07553	11.346772	36786	80013	37196	5432103
LapC	2.24676	5.189535	5.17018	11.530259	35419	81505	43984	6428676
LapA	2.16138	4.977347	5.77090	12.896323	34073	90975	114538	16418392
GalP	2.14140	4.881544	1.15741	2.460358	33758	18246	34063	4925121
LapI	1.94000	4.475805	5.57038	12.494813	30583	87814	49212	7176821
