#name	%unambiguousReads	unambiguousMB	%ambiguousReads	ambiguousMB	unambiguousReads	ambiguousReads	assignedReads	assignedBases
PerS	21.55955	48.324302	4.62690	9.688566	338129	72566	388347	55128668
AmauC	8.04304	18.157268	4.31014	9.185490	126143	67598	154876	22162855
EutP	4.63921	10.470696	4.29343	9.113428	72759	67336	76092	10921745
PerC	3.63172	7.760331	3.28428	6.860389	56958	51509	89957	12228128
Peri	3.29079	7.403732	3.31935	6.998513	51611	52059	65148	9294523
LapL	2.58099	5.832525	3.29244	6.942539	40479	51637	62170	8841165
GalC	2.31683	5.215706	2.97153	6.276155	36336	46604	82940	11491861
LapC	2.27564	5.168316	4.18070	9.006952	35690	65568	43545	6279700
LapG	2.25409	5.069262	3.71697	7.907581	35352	58295	54890	7815984
GalP	2.10871	4.694168	1.25533	2.543681	33072	19688	33306	4726761
GalL	1.90933	4.289320	2.10884	4.417151	29945	33074	34931	4987116
LapV	1.62107	3.627386	3.57006	7.664392	25424	55991	25594	3649734
LapA	1.58134	3.574351	4.03718	8.705785	24801	63317	81233	11354944
LapI	1.46670	3.327428	4.13581	8.962551	23003	64864	35885	5152495
