#name	%unambiguousReads	unambiguousMB	%ambiguousReads	ambiguousMB	unambiguousReads	ambiguousReads	assignedReads	assignedBases
LapC	10.15191	40.047718	11.58412	43.829408	276351	315338	322695	46675944
LapA	9.46235	37.323954	11.74253	44.395283	257580	319650	565226	80188183
LapI	8.95165	35.334455	13.04319	49.565493	243678	355056	376256	54265274
LapV	8.33640	32.800092	11.63680	44.049144	226930	316772	227167	32831672
LapG	3.78068	14.814346	5.35252	19.779918	102916	145704	161821	23069578
LapL	3.49903	13.764806	5.31685	19.646828	95249	144733	171179	24326980
EutP	2.09389	8.228550	2.33230	8.337733	56999	63489	60316	8696597
AmauC	1.67073	6.544079	1.53246	5.427462	45480	41716	65020	9172173
PerS	1.56365	6.085549	1.46880	5.145527	42565	39983	68429	9527084
Peri	1.46681	5.727157	1.71258	6.008970	39929	46619	54065	7658708
PerC	1.44514	5.657371	1.44463	5.053844	39339	39325	63483	8840443
GalC	1.39382	5.446441	1.89993	6.771362	37942	51719	89661	12217803
GalP	1.38306	5.361678	0.63604	2.199870	37649	17314	37770	5377417
GalL	1.16731	4.556254	1.35958	4.762647	31776	37010	37587	5365116
