#name	%unambiguousReads	unambiguousMB	%ambiguousReads	ambiguousMB	unambiguousReads	ambiguousReads	assignedReads	assignedBases
PerS	14.55976	10.294548	3.85548	2.552223	70943	18786	83698	12046236
AmauC	5.28698	3.733786	3.62111	2.412133	25761	17644	33429	4801930
LapL	4.99370	3.546657	5.22602	3.519038	24332	25464	36966	5329184
EutP	3.50823	2.481791	3.89140	2.601295	17094	18961	18137	2627682
LapG	3.08812	2.184992	4.63598	3.120864	15047	22589	22925	3305845
LapV	2.98366	2.115366	5.09057	3.461502	14538	24804	14634	2128973
LapC	2.96006	2.108379	5.57492	3.782780	14423	27164	17254	2514828
LapI	2.81126	1.986068	5.68266	3.889598	13698	27689	20367	2943032
Peri	2.77514	1.959323	3.23322	2.148840	13522	15754	17623	2537712
PerC	2.77391	1.955481	2.93995	1.945702	13516	14325	22967	3255206
LapA	2.57648	1.822503	5.58600	3.785915	12554	27218	37396	5289512
GalP	2.17217	1.519644	1.22010	0.781093	10584	5945	10642	1527842
GalL	1.99896	1.402831	2.06935	1.367242	9740	10083	11391	1635332
GalC	1.87992	1.330562	2.66206	1.771624	9160	12971	22131	3102186
