#name	%unambiguousReads	unambiguousMB	%ambiguousReads	ambiguousMB	unambiguousReads	ambiguousReads	assignedReads	assignedBases
GalC	11.66160	50.617215	6.62985	27.707351	348025	197859	545884	78324566
GalL	6.07103	26.310712	4.49321	18.682160	181182	134094	195298	28325838
EutP	4.71393	20.495458	4.84156	20.111008	140681	144490	147272	21431127
PerS	3.51274	15.212366	3.92988	16.234769	104833	117282	177930	25471814
LapL	3.21827	13.996286	5.08691	21.196577	96045	151812	164163	23704158
LapG	3.20590	13.911327	5.15754	21.474365	95676	153920	149945	21709244
Peri	3.15926	13.689521	3.83461	15.811527	94284	114439	124434	17976567
PerC	3.12170	13.503253	3.03847	12.380922	93163	90679	150271	21419752
AmauC	3.06504	13.264374	2.93771	12.066619	91472	87672	127680	18353713
LapC	2.99625	13.083573	5.78833	24.267239	89419	172745	105821	15450041
GalP	2.49239	10.746724	1.02963	4.048681	74382	30728	74713	10793428
LapI	2.48445	10.834631	5.80042	24.499040	74145	173106	118635	17255895
LapA	2.35571	10.244676	5.59700	23.456622	70303	167035	205965	29354421
LapV	2.28725	9.943953	5.40563	22.688356	68260	161324	68462	9971062
