#name	%unambiguousReads	unambiguousMB	%ambiguousReads	ambiguousMB	unambiguousReads	ambiguousReads	assignedReads	assignedBases
LapC	12.17484	19.753643	13.15755	20.840289	134285	145124	156288	22963118
LapA	8.45707	13.708852	12.08645	19.116737	93279	133310	221718	32168507
LapV	8.04364	13.030416	12.00267	19.028775	88719	132386	88855	13049871
LapI	7.76874	12.595659	12.51710	19.876249	85687	138060	138318	20273679
LapL	4.05478	6.556473	5.70876	8.935961	44723	62966	78695	11447823
LapG	3.95142	6.385800	5.74847	8.977072	43583	63404	70446	10271707
EutP	2.34594	3.797835	2.50687	3.846749	25875	27650	27482	4029111
AmauC	1.88273	3.043889	1.67620	2.554913	20766	18488	29347	4253483
GalP	1.66822	2.692331	0.68705	1.028886	18400	7578	18523	2709512
Peri	1.58481	2.559373	1.71446	2.598457	17480	18910	22977	3342247
PerS	1.54854	2.491580	1.65335	2.501493	17080	18236	29105	4177845
GalC	1.35878	2.195399	1.90776	2.907172	14987	21042	36029	5102571
PerC	1.33766	2.158123	1.44591	2.187057	14754	15948	25040	3590485
GalL	1.27383	2.060696	1.34591	2.038095	14050	14845	16508	2414504
