#name	%unambiguousReads	unambiguousMB	%ambiguousReads	ambiguousMB	unambiguousReads	ambiguousReads	assignedReads	assignedBases
GalC	9.50904	31.488725	7.63293	24.457402	217509	174595	392104	55946127
GalL	6.99019	23.157120	5.50286	17.555440	159893	125872	174726	25268167
EutP	4.04793	13.431209	5.64717	17.954401	92592	129173	98268	14227648
PerS	3.60852	11.876225	4.62400	14.621591	82541	105769	147080	20874428
LapG	3.46084	11.447764	5.61360	17.848224	79163	128405	119720	17214559
AmauC	3.19198	10.547285	3.73841	11.758979	73013	85512	107633	15375739
PerC	3.11604	10.238453	3.74396	11.738966	71276	85639	122802	17351196
LapL	3.07411	10.198867	6.24864	19.927360	70317	142931	133005	19105102
Peri	2.93024	9.669202	4.57766	14.484626	67026	104709	94764	13598337
GalP	2.73294	8.929237	1.43010	4.347159	62513	32712	62846	8976383
LapI	2.65836	8.791800	6.29512	20.274861	60807	143994	94962	13694052
LapC	2.54950	8.489600	6.58344	21.116623	58317	150589	73215	10633340
LapV	2.18738	7.231077	5.97659	19.191030	50034	136708	50273	7263863
LapA	2.14148	7.127932	6.67044	21.398992	48984	152579	171850	24407539
