#name	%unambiguousReads	unambiguousMB	%ambiguousReads	ambiguousMB	unambiguousReads	ambiguousReads	assignedReads	assignedBases
LapG	51.65092	53.656284	6.14033	5.860561	368645	43825	386059	56066251
LapL	2.25339	2.340117	2.69460	2.566293	16083	19232	27479	3903682
LapA	1.90774	1.978673	3.47249	3.374768	13616	24784	36830	5155283
LapC	1.90676	1.982201	3.11311	3.013552	13609	22219	15595	2265842
LapV	1.75502	1.821751	2.77012	2.683747	12526	19771	12549	1824918
LapI	1.66815	1.734223	3.18302	3.119866	11906	22718	15722	2283934
EutP	1.50184	1.552456	1.38555	1.295292	10719	9889	11430	1650848
AmauC	1.22204	1.259934	1.10029	1.023552	8722	7853	12902	1823312
GalP	1.19836	1.225412	0.48758	0.448123	8553	3480	8571	1227840
Peri	1.17510	1.214791	1.07100	1.002172	8387	7644	10496	1513478
GalL	1.06288	1.097865	0.95345	0.892459	7586	6805	8244	1190204
PerC	1.05839	1.092008	0.92487	0.842380	7554	6601	11944	1664781
PerS	1.02967	1.059541	0.97054	0.887712	7349	6927	12037	1676758
GalC	0.94070	0.968276	1.09090	1.005272	6714	7786	14500	1973548
