#name	%unambiguousReads	unambiguousMB	%ambiguousReads	ambiguousMB	unambiguousReads	ambiguousReads	assignedReads	assignedBases
LapI	9.69604	79.968327	12.68251	101.314915	555647	726791	830920	119196106
LapC	8.65972	71.496290	11.27169	89.390809	496259	645942	577263	82961097
LapV	7.39784	60.876939	11.09373	88.190740	423945	635744	424536	60953709
LapA	6.14600	50.617627	10.87477	86.261283	352206	623196	945268	132981228
LapL	4.65219	38.119181	5.71954	44.582319	266601	327767	434660	61480143
LapG	3.68038	30.227333	5.53427	42.965977	210910	317150	339284	48143131
GalP	2.65285	21.618272	0.90902	6.690678	152026	52093	152377	21663178
EutP	1.95300	16.034723	2.79601	21.297429	111920	160230	122718	17522836
AmauC	1.88568	15.435298	2.01696	15.192425	108062	115585	162646	22795576
PerC	1.84464	15.122148	1.82548	13.619239	105710	104612	173804	24151304
GalC	1.68459	13.765385	2.11351	15.973841	96538	121118	217656	29739226
Peri	1.50915	12.313066	1.90034	14.200616	86484	108902	118142	16635349
PerS	1.34630	11.022468	1.61245	12.000946	77152	92404	135797	18844241
GalL	1.09987	8.970113	1.51923	11.383468	63030	87062	77590	11006993
