#name	%unambiguousReads	unambiguousMB	%ambiguousReads	ambiguousMB	unambiguousReads	ambiguousReads	assignedReads	assignedBases
LapI	11.09064	29.526087	13.51465	34.990931	202476	246730	301509	43822921
LapC	9.20035	24.537660	11.38056	29.272948	167966	207769	196988	28720324
LapV	8.32159	22.132491	11.63532	29.986074	151923	212420	152073	22152621
LapA	7.34298	19.545966	11.34803	29.219473	134057	207175	332846	47670389
LapL	4.19166	11.133210	5.72493	14.523859	76525	104517	130608	18785311
LapG	3.65925	9.693461	5.29889	13.372699	66805	96739	106868	15384910
EutP	2.14143	5.703735	2.51516	6.219729	39095	45918	42311	6154534
PerS	1.59773	4.222750	1.53556	3.740402	29169	28034	47524	6731570
Peri	1.52603	4.034337	1.69496	4.120056	27860	30944	36817	5278894
GalC	1.41418	3.753658	1.88766	4.614821	25818	34462	60280	8368479
AmauC	1.41369	3.740878	1.49689	3.654880	25809	27328	38938	5551986
GalP	1.38543	3.646146	0.61983	1.478227	25293	11316	25403	3661550
PerC	1.31729	3.476617	1.40630	3.381215	24049	25674	40443	5688768
GalL	1.21858	3.226315	1.45148	3.542836	22247	26499	26514	3830909
