#name	%unambiguousReads	unambiguousMB	%ambiguousReads	ambiguousMB	unambiguousReads	ambiguousReads	assignedReads	assignedBases
GalC	12.06524	31.626188	7.12005	18.161879	215541	127197	342738	49788067
GalL	6.14096	16.066131	4.83374	12.298689	109706	86353	119654	17512569
EutP	4.87908	12.787157	4.94861	12.550583	87163	88405	91050	13345206
LapG	3.80708	9.970767	5.82089	14.808633	68012	103988	103878	15180963
PerS	3.50973	9.175154	4.10123	10.355133	62700	73267	107853	15621739
Peri	3.40735	8.906589	4.32144	10.960538	60871	77201	81874	11936210
LapL	3.28722	8.626899	5.51906	14.062567	58725	98596	101600	14834305
PerC	3.04775	7.955238	3.24283	8.149487	54447	57932	90372	13056317
AmauC	3.00896	7.876575	3.18730	8.038592	53754	56940	76938	11203863
LapC	2.77554	7.306882	6.12075	15.646269	49584	109345	60123	8845390
LapV	2.56417	6.718054	6.01529	15.387255	45808	107461	45908	6732419
LapA	2.51934	6.616115	6.14068	15.694496	45007	109701	135841	19645681
LapI	2.45787	6.455587	6.46663	16.619828	43909	115524	73096	10717415
GalP	1.92526	5.019260	0.93011	2.280124	34394	16616	34538	5040229
