#name	%unambiguousReads	unambiguousMB	%ambiguousReads	ambiguousMB	unambiguousReads	ambiguousReads	assignedReads	assignedBases
LapI	25.76999	51.050665	14.00105	27.008940	347856	188993	427829	62644963
LapV	6.24499	12.346616	9.98371	19.217749	84298	134765	84416	12363088
LapC	5.99134	11.860184	8.66334	16.645797	80874	116942	93835	13736324
LapA	4.89818	9.690644	9.18310	17.658912	66118	123958	185363	26713317
LapL	3.54892	7.015873	4.31056	8.159579	47905	58186	78928	11439366
LapG	2.66993	5.274757	4.03075	7.617140	36040	54409	58789	8520204
EutP	1.97474	3.904651	1.86954	3.462235	26656	25236	28306	4138659
AmauC	1.69115	3.337209	1.43757	2.677399	22828	19405	31868	4609965
GalP	1.68634	3.311993	0.69511	1.274016	22763	9383	22853	3324035
GalC	1.53158	3.026044	1.64041	3.046131	20674	22143	42817	6072175
PerC	1.51180	2.982850	1.42423	2.639978	20407	19225	32693	4690793
PerS	1.30778	2.570048	1.27407	2.344369	17653	17198	29578	4233201
Peri	1.30052	2.566513	1.33178	2.449350	17555	17977	22451	3253729
GalL	1.01108	1.989576	1.12361	2.075170	13648	15167	15798	2296847
