#name	%unambiguousReads	unambiguousMB	%ambiguousReads	ambiguousMB	unambiguousReads	ambiguousReads	assignedReads	assignedBases
GalC	9.87876	11.512143	6.78007	7.362268	81142	55690	136832	18874411
GalL	5.18081	6.011569	4.73923	5.104667	42554	38927	47017	6618979
EutP	4.38884	5.109593	5.28794	5.693198	36049	43434	37858	5356346
PerS	3.33914	3.859020	4.09422	4.374242	27427	33629	48216	6610189
LapG	3.31333	3.853926	5.88803	6.360235	27215	48363	42672	5972451
Peri	3.09066	3.572063	4.53531	4.870983	25386	37252	34836	4854805
LapL	2.81454	3.284806	5.58379	6.047618	23118	45864	42295	5893385
AmauC	2.78155	3.197885	3.31431	3.517777	22847	27223	33912	4667668
PerC	2.70083	3.115261	3.51044	3.701946	22184	28834	39889	5434858
LapC	2.25633	2.645062	6.19666	6.773497	18533	50898	23315	3310738
LapV	2.17926	2.544124	6.14589	6.749618	17900	50481	17991	2556378
LapA	2.15078	2.504210	6.39791	6.990465	17666	52551	60697	8259976
GalP	2.12131	2.394252	1.21893	1.213953	17424	10012	17540	2409492
LapI	2.07188	2.436758	6.22868	6.851787	17018	51161	28893	4090990
