#name	%unambiguousReads	unambiguousMB	%ambiguousReads	ambiguousMB	unambiguousReads	ambiguousReads	assignedReads	assignedBases
GalC	9.65834	21.426288	6.05212	13.013475	146259	91649	237908	34439763
GalL	7.50055	16.596269	4.73002	10.131674	113583	71628	122535	17889115
EutP	4.13200	9.159719	4.91650	10.526431	62572	74452	66116	9670853
Peri	3.80353	8.373079	4.47532	9.540532	57598	67771	76726	11117881
LapG	3.49429	7.732893	5.38859	11.544338	52915	81601	80650	11729166
PerS	3.06664	6.773558	3.77012	8.013619	46439	57092	81367	11720785
LapL	2.90056	6.450415	4.81943	10.331117	43924	72982	76713	11167524
LapI	2.86153	6.333112	6.14378	13.274147	43333	93037	67796	9884289
LapV	2.83624	6.249085	5.81281	12.557928	42950	88025	43051	6263020
LapA	2.66250	5.873586	6.37827	13.735622	40319	96588	122227	17551793
PerC	2.47582	5.455176	3.01513	6.376528	37492	45659	65282	9364634
LapC	2.22851	4.954966	5.93392	12.801393	33747	89859	42138	6180729
AmauC	2.17826	4.809376	2.86219	6.062071	32986	43343	53857	7781022
GalP	1.65724	3.626608	0.91268	1.868428	25096	13821	25176	3637406
