#name	%unambiguousReads	unambiguousMB	%ambiguousReads	ambiguousMB	unambiguousReads	ambiguousReads	assignedReads	assignedBases
LapC	12.19465	44.843263	13.12488	46.613907	307281	330721	356281	51896897
LapV	8.00114	29.383921	12.31398	43.819659	201613	310288	202218	29467876
LapI	7.69441	28.241053	12.72286	45.399718	193884	320591	318678	46238568
LapA	7.06357	25.905729	11.81684	41.962726	177988	297761	462707	66138516
LapL	3.94122	14.422989	5.90003	20.577389	99311	148669	177828	25502344
LapG	3.40356	12.428981	5.56659	19.392155	85763	140267	143730	20663567
EutP	2.24537	8.223810	2.56437	8.756145	56579	64617	60180	8730611
AmauC	1.64604	6.005722	1.81879	6.178344	41477	45830	64533	9208200
PerC	1.58588	5.756670	1.72803	5.836530	39961	43543	67500	9522357
GalP	1.49377	5.420002	0.69121	2.265644	37640	17417	38104	5485739
PerS	1.46595	5.336448	1.68505	5.659752	36939	42460	64523	9101885
GalL	1.39610	5.094055	1.58342	5.351547	35179	39899	40399	5826339
Peri	1.36142	4.961068	1.82014	6.102393	34305	45864	46482	6652785
GalC	1.21688	4.437478	2.12584	7.223430	30663	53567	84230	11660908
