#name	%unambiguousReads	unambiguousMB	%ambiguousReads	ambiguousMB	unambiguousReads	ambiguousReads	assignedReads	assignedBases
PerC	8.12575	13.340564	4.03901	6.278089	92441	45949	122372	17472802
GalC	5.93901	9.748719	4.63710	7.267158	67564	52753	120317	17015877
LapL	4.93429	8.104954	5.86940	9.272823	56134	66772	87243	12503095
GalL	4.31661	7.066350	4.02117	6.312359	49107	45746	55545	7978162
EutP	3.92623	6.456590	4.75937	7.472943	44666	54144	47109	6801435
LapG	3.47134	5.681074	5.37020	8.451831	39491	61093	60826	8711642
PerS	3.46018	5.658211	3.66762	5.719031	39364	41724	66475	9429821
LapC	3.37166	5.567506	6.53552	10.397198	38357	74350	46639	6747793
LapV	3.01926	4.956547	6.66693	10.645499	34348	75845	34482	4974522
LapA	2.94938	4.863928	6.77944	10.802801	33553	77125	102884	14610948
AmauC	2.93663	4.800737	3.25572	5.082095	33408	37038	48588	6919767
Peri	2.85893	4.667882	3.72995	5.832752	32524	42433	44898	6421406
LapI	2.81181	4.626680	6.91613	11.078957	31988	78680	51026	7347267
GalP	2.78271	4.543334	1.35413	2.045045	31657	15405	31873	4572724
