#name	%unambiguousReads	unambiguousMB	%ambiguousReads	ambiguousMB	unambiguousReads	ambiguousReads	assignedReads	assignedBases
LapI	41.63293	48.827312	13.97268	15.804178	333068	111783	381128	55752184
LapV	4.49319	5.252652	8.58613	9.716073	35946	68690	36015	5262503
LapA	3.20658	3.742549	7.18653	8.086000	25653	57493	80797	11515169
LapC	2.62059	3.075903	6.75903	7.620012	20965	54073	25439	3726081
LapL	2.16097	2.530656	3.29983	3.641096	17288	26399	31800	4575601
LapG	2.01922	2.362796	3.22558	3.553589	16154	25805	28352	4095105
PerC	1.57123	1.817484	1.11798	1.193439	12570	8944	18471	2616913
GalP	1.38386	1.603692	0.53512	0.570748	11071	4281	11108	1608870
Peri	1.33086	1.546912	1.32698	1.420674	10647	10616	14055	2016652
AmauC	1.24211	1.447039	1.32811	1.443124	9937	10625	15954	2284279
EutP	1.20736	1.409277	1.48623	1.600476	9659	11890	10189	1483233
PerS	0.97699	1.135915	0.97686	1.039064	7816	7815	12938	1833446
GalL	0.88061	1.025975	0.84861	0.905033	7045	6789	7748	1125411
GalC	0.85311	0.991816	1.11361	1.197167	6825	8909	15734	2188983
